# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_modified_model
# start_datetime = 2024-11-24 17:46:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_275.json
# init = 2 (Default)
# random
#   seed = 1718707903 (Default)
# output
#   file = output_model_modified/output_275.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.159823
# Diagonal elements of inverse mass matrix:
# 17318.3, 0.0008589, 0.021618, 2.89596, 3.11568, 5.00951, 3.39603, 0.156051
-7109.94,0.954636,0.159823,4,31,0,7112.47,12707.2,2154.16,0.775149,0.984146,0.964865,0.999958,0.970745,0.794295
-7111.5,0.787857,0.159823,5,31,0,7117.27,12385.6,2100.62,0.75772,0.999557,0.994742,0.999973,0.972003,0.617893
-7111.92,0.956157,0.159823,4,31,0,7114.69,12365.8,2165.78,0.785874,0.999826,0.996405,0.999807,0.992331,0.708416
-7114.18,0.974173,0.159823,4,31,0,7119.21,12407.7,2191.66,0.766288,0.999932,0.996439,0.999986,0.98961,0.75297
-7114.78,0.990988,0.159823,5,31,0,7119.2,12304.4,2210.91,0.744422,0.999769,0.998769,0.999902,0.988409,0.501459
-7108.79,0.916635,0.159823,5,31,0,7119.37,12456.7,2114.61,0.69905,0.997809,0.984218,0.994446,0.967854,0.531864
-7107.14,0.992229,0.159823,5,31,0,7110.31,12638,2148.83,0.774157,0.924426,0.979412,0.99198,0.951598,0.747785
-7105.55,1,0.159823,4,23,0,7110.6,12538.9,2129.65,0.728194,0.969098,0.985559,0.970491,0.960234,0.603826
-7107.92,0.975916,0.159823,4,15,0,7108.45,12490.9,2040.99,0.743096,0.977256,0.98998,0.996864,0.983526,0.586663
-7109.18,0.96837,0.159823,4,15,0,7111.7,12506.7,2095.22,0.720576,0.990996,0.952627,0.995345,0.997973,0.60584
-7107.95,0.956329,0.159823,4,15,0,7113.38,12463.8,2177.4,0.768642,0.99112,0.994071,0.984131,0.984683,0.6039
-7107.68,0.977654,0.159823,4,31,0,7110.94,12506.7,2187.32,0.763621,0.994006,0.993363,0.974246,0.961235,0.636838
-7108.73,0.969633,0.159823,4,15,0,7111.49,12654.7,2099.54,0.736601,0.978839,0.998261,0.992996,0.964534,0.711994
-7109.6,0.99176,0.159823,4,15,0,7112.08,12430.3,2105.26,0.787974,0.974585,0.998549,0.993954,0.992196,0.630998
-7111.25,0.984337,0.159823,4,15,0,7114.81,12551.1,2120.34,0.757611,0.964327,0.999754,0.997155,0.998828,0.625656
-7113.69,0.994963,0.159823,4,31,0,7115.58,12393.7,2203.92,0.718589,0.980351,0.99999,0.999554,0.993246,0.595136
-7111.52,0.990463,0.159823,5,31,0,7117.28,12552.9,2180.42,0.763986,0.983456,0.99935,0.999147,0.967715,0.832737
-7111.8,0.982554,0.159823,4,31,0,7113.49,12550.2,2179.82,0.763694,0.983334,0.999131,0.999473,0.973893,0.836485
-7110.78,0.99584,0.159823,5,31,0,7114.2,12414.4,2184.81,0.796381,0.984795,0.945391,0.998783,0.976891,0.616387
-7110.97,0.978748,0.159823,4,15,0,7117.28,12597.1,2213.26,0.73337,0.998163,0.993856,0.99439,0.940218,0.562968
-7110.49,0.880848,0.159823,4,15,0,7114.53,12423.2,2046.42,0.740773,0.995991,0.962394,0.998317,0.996176,0.660464
-7109.95,0.984254,0.159823,4,31,0,7114.28,12397.7,2095.37,0.777521,0.997792,0.991977,0.967572,0.983041,0.626302
-7108.79,0.986657,0.159823,4,31,0,7111,12441.5,2079.91,0.766148,0.998715,0.993094,0.987286,0.98326,0.628467
-7109.92,0.983286,0.159823,4,31,0,7114.49,12507.7,2313.19,0.766612,0.972025,0.988182,0.990826,0.982706,0.688118
-7108.77,0.98957,0.159823,4,15,0,7113.58,12527,2194.82,0.772682,0.988264,0.99508,0.986591,0.991785,0.784602
-7109.89,0.936474,0.159823,4,15,0,7114.35,12631.7,2197.35,0.786802,0.99052,0.989227,0.9923,0.988919,0.718939
-7111.7,0.998614,0.159823,4,15,0,7113.28,12259.2,2081.95,0.755904,0.99571,0.983141,0.991443,0.983119,0.691928
-7108.33,0.994901,0.159823,4,15,0,7113.33,12657.4,2120.09,0.75354,0.991754,0.943175,0.978367,0.987709,0.648179
-7109.47,0.995043,0.159823,3,15,0,7113.59,12585.1,2106.39,0.756006,0.969225,0.982782,0.981781,0.997995,0.789565
-7105.61,0.980755,0.159823,4,15,0,7110.72,12524.2,2150.8,0.761516,0.976326,0.972428,0.990446,0.980633,0.724931
-7105.54,0.918883,0.159823,5,31,0,7108.51,12893.4,2128.68,0.734354,0.928688,0.95615,0.987835,0.948373,0.728356
-7105.82,0.873216,0.159823,3,7,0,7108.45,12866.3,2124.08,0.755957,0.903814,0.943903,0.935295,0.94033,0.624105
-7104.65,0.566017,0.159823,3,15,0,7109.18,12887.1,2111.33,0.76082,0.920342,0.934979,0.949792,0.939788,0.660415
-7105.24,0.747644,0.159823,4,19,0,7107.25,13192.9,2064.77,0.711341,0.904056,0.933832,0.944944,0.893821,0.771249
