# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_modified_model
# start_datetime = 2024-11-24 17:47:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_623.json
# init = 2 (Default)
# random
#   seed = 1718781593 (Default)
# output
#   file = output_model_modified/output_623.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.299563
# Diagonal elements of inverse mass matrix:
# 120843, 0.00140916, 0.18054, 0.00753232, 0.00608924, 0.0130773, 0.318971, 0.0284256
-7473.37,0.9602,0.299563,4,15,0,7477.19,18704.3,2890.8,0.893062,0.674166,0.558823,0.724567,0.901505,0.732974
-7472.97,0.998375,0.299563,4,15,0,7474.94,18270,2918.9,0.934885,0.647006,0.534702,0.728166,0.932168,0.686867
-7474.66,0.813392,0.299563,3,15,0,7478.87,18283.9,2942.37,0.910453,0.607365,0.539889,0.725732,0.927983,0.718236
-7474.66,0.988121,0.299563,4,15,0,7476.87,18456.1,2961.94,0.874424,0.610083,0.525298,0.731462,0.920085,0.719999
-7470.79,0.809514,0.299563,3,7,0,7477.96,18212.7,2890.33,0.897519,0.663014,0.539567,0.716459,0.928986,0.705307
-7471.52,0.97877,0.299563,3,7,0,7471.85,18290,2942.2,0.900241,0.662049,0.541141,0.734298,0.891981,0.690997
-7474.91,0.8966,0.299563,4,15,0,7477.81,17921.3,3054.03,0.918473,0.691441,0.532979,0.742601,0.930695,0.671375
-7472.65,0.971221,0.299563,3,15,0,7478.87,18244.6,2911.27,0.899273,0.681829,0.53711,0.748512,0.925608,0.701319
-7475.11,0.987508,0.299563,4,15,0,7477.49,18141.1,3111.65,0.923457,0.694957,0.549294,0.754266,0.933842,0.768405
-7473.32,0.993044,0.299563,4,15,0,7476.45,18026.4,2978.4,0.922611,0.695227,0.557509,0.745506,0.932625,0.731018
-7470.45,0.991898,0.299563,4,15,0,7474.52,18361.5,2898.74,0.900605,0.666627,0.532963,0.708528,0.903808,0.713588
-7470,0.933836,0.299563,4,15,0,7472.03,18610.1,2755.77,0.876779,0.625572,0.524888,0.708764,0.884676,0.707127
-7470,0.371306,0.299563,2,7,0,7476.37,18610.1,2755.77,0.876779,0.625572,0.524888,0.708764,0.884676,0.707127
-7474.39,0.475181,0.299563,3,15,0,7476.67,18840.9,2729.43,0.854888,0.632749,0.526572,0.682404,0.918715,0.70917
-7472.48,0.965757,0.299563,4,15,0,7475.28,18673.2,2862.19,0.886817,0.659522,0.526906,0.713347,0.921215,0.70844
-7474.22,0.903705,0.299563,2,3,0,7475.11,18550.7,2871.66,0.860822,0.649974,0.522693,0.723303,0.844058,0.711048
-7470.78,1,0.299563,2,7,0,7474.29,18693.4,2851.03,0.860557,0.643661,0.524102,0.721153,0.863722,0.713797
-7472.41,0.867294,0.299563,3,11,0,7473.79,18356.6,2731.32,0.887254,0.635551,0.532132,0.687352,0.868526,0.675662
-7472.13,0.884572,0.299563,3,7,0,7474.38,18513.3,2764.68,0.856841,0.631125,0.530568,0.707319,0.857273,0.693271
-7472.76,0.968594,0.299563,3,7,0,7475.08,18391.8,2699.82,0.884773,0.647852,0.503575,0.714746,0.883485,0.706394
-7473.32,0.906848,0.299563,3,7,0,7478.01,18462.6,2621.12,0.876319,0.622349,0.524475,0.718084,0.893047,0.664218
-7474.79,0.487082,0.299563,4,15,0,7482.38,19345.3,2911.13,0.847692,0.648315,0.50705,0.674594,0.840722,0.757676
-7477.34,0.817839,0.299563,3,7,0,7481.14,19470.9,2816.96,0.850741,0.650195,0.490648,0.686492,0.859676,0.791689
-7474.04,0.894212,0.299563,4,15,0,7487.66,18512,2866.52,0.874933,0.641251,0.500112,0.692083,0.890065,0.637747
-7473.83,0.985884,0.299563,3,7,0,7476.92,18589.2,2663.54,0.883354,0.637718,0.555041,0.714694,0.884578,0.744353
-7475.25,0.810513,0.299563,4,15,0,7478.31,18259,3026.16,0.899959,0.652489,0.498059,0.703707,0.915606,0.677573
-7472.57,0.807833,0.299563,3,15,0,7480.57,18548.8,2890.77,0.865984,0.624571,0.51086,0.725937,0.911087,0.700824
-7471.93,0.846448,0.299563,3,7,0,7475.31,18547.1,2846.66,0.882728,0.640263,0.536836,0.702383,0.853225,0.709574
-7475.59,0.958251,0.299563,3,7,0,7476.98,19073.9,2800.7,0.84897,0.624776,0.504091,0.670719,0.816967,0.725647
-7474.91,0.629411,0.299563,4,15,0,7482.73,17833.8,2854.47,0.935366,0.667524,0.559686,0.745677,0.974648,0.685674
-7472.03,0.923789,0.299563,4,15,0,7477.19,18572.2,2851.68,0.882394,0.652679,0.536247,0.749269,0.891567,0.717317
-7474.05,0.725596,0.299563,4,31,0,7476.14,18451.1,2959.75,0.927545,0.648867,0.54774,0.706004,0.936093,0.726324
-7472.87,0.863945,0.299563,3,15,0,7478.15,18453.8,2935.86,0.880094,0.648124,0.56115,0.702492,0.911433,0.674297
-7472.46,0.987214,0.299563,3,7,0,7475.2,18438.8,2842.68,0.91678,0.641497,0.558854,0.703826,0.91615,0.726725
-7472.46,0.94917,0.299563,3,7,0,7475.17,18418.9,2923.12,0.900673,0.627939,0.557789,0.716431,0.882859,0.693632
-7477.94,0.494613,0.299563,4,15,0,7478.9,17781.2,3059.93,0.969551,0.691027,0.524332,0.735693,0.918779,0.692233
-7476.93,0.94687,0.299563,4,15,0,7481.72,17952.1,2844.89,0.915826,0.660321,0.57304,0.744663,0.979247,0.684629
-7476.77,0.875192,0.299563,4,15,0,7482.75,17655.4,2840.59,0.944974,0.653629,0.564839,0.737175,0.925159,0.67647
-7477.7,0.997873,0.299563,4,15,0,7481.33,17665.8,2960.62,0.90753,0.658049,0.536702,0.713881,0.98114,0.655573
-7474.58,0.969,0.299563,3,15,0,7478.76,18021.5,2971.72,0.929553,0.675926,0.540267,0.732415,0.970814,0.678552
-7474.82,0.927085,0.299563,4,15,0,7477.29,18208.3,2930.11,0.950767,0.661878,0.557194,0.744127,0.908108,0.692365
-7474.54,0.986543,0.299563,3,7,0,7476.02,17812.8,2943.15,0.926032,0.673058,0.542911,0.732336,0.953062,0.728369
-7473.34,1,0.299563,3,7,0,7474.77,18231.6,2979.06,0.936241,0.673706,0.548139,0.738698,0.94375,0.723425
-7475.16,0.966249,0.299563,4,15,0,7477.45,18804.3,2893.84,0.883529,0.635667,0.527636,0.660529,0.903735,0.693852
-7472.23,0.993431,0.299563,3,15,0,7478.11,18837.4,2961.15,0.877341,0.620762,0.523458,0.717744,0.872974,0.724508
-7469.84,0.993654,0.299563,4,15,0,7474.26,18635.9,2790.7,0.88004,0.638565,0.52808,0.718046,0.876062,0.70499
-7470.92,0.749786,0.299563,3,15,0,7472.83,18415.1,2863.69,0.883967,0.648829,0.547792,0.701328,0.90007,0.731317
-7470.92,0.579723,0.299563,3,15,0,7476.12,18711.5,2773.11,0.883757,0.625441,0.513408,0.701067,0.879054,0.684962
-7471.22,0.993104,0.299563,3,15,0,7473.68,18447.2,2927.23,0.874263,0.628677,0.53565,0.709254,0.900653,0.703153
-7472.91,0.811328,0.299563,3,7,0,7475.09,18760.3,2914.17,0.885465,0.611447,0.527692,0.726158,0.893023,0.718719
-7474.85,0.550507,0.299563,4,15,0,7479.6,17924.7,2834,0.907565,0.684455,0.548474,0.699517,0.950996,0.66779
-7474.16,0.828598,0.299563,4,15,0,7479.67,17961.9,2967.87,0.937065,0.646033,0.536199,0.745934,0.906046,0.680113
-7473.4,0.984799,0.299563,3,15,0,7476.14,18315.1,2771.33,0.873389,0.667049,0.540064,0.693524,0.928081,0.717922
-7471.81,0.978387,0.299563,3,7,0,7474.63,18476.7,2907.69,0.91759,0.6576,0.550107,0.709789,0.891363,0.703318
-7473.12,0.954831,0.299563,4,15,0,7474.5,18848.5,2802.87,0.828298,0.6321,0.510681,0.717982,0.888109,0.731432
-7473.88,0.992519,0.299563,3,7,0,7476.69,18904.2,2907.97,0.878041,0.643226,0.505493,0.666904,0.877493,0.722792
-7470.24,1,0.299563,3,7,0,7474.85,18689.7,2832.18,0.866351,0.661325,0.527445,0.698859,0.891445,0.716525
-7477.73,0.587132,0.299563,4,19,0,7480.58,17733.1,3084.67,0.963474,0.638882,0.540927,0.764979,0.959339,0.672474
-7478.88,0.979703,0.299563,4,15,0,7482.68,17645.6,2864.96,0.970535,0.71809,0.552011,0.740074,0.953332,0.67321
-7476.75,0.956315,0.299563,4,31,0,7483,18214.9,3014.8,0.887656,0.623269,0.557607,0.743577,0.947592,0.743869
-7472.97,0.974693,0.299563,3,11,0,7478.92,18429.8,2896.53,0.902688,0.618566,0.540437,0.737506,0.918753,0.700031
-7471.07,0.830977,0.299563,4,15,0,7477.22,18505.1,2866.46,0.878068,0.671661,0.538252,0.724818,0.90888,0.709613
-7471.67,0.939855,0.299563,4,15,0,7472.99,18240,2895.15,0.918284,0.662799,0.534196,0.703736,0.93259,0.694883
-7471.81,0.932566,0.299563,3,15,0,7473.49,18536.3,2815.55,0.885811,0.633531,0.541881,0.739893,0.896936,0.696118
-7474.73,0.883626,0.299563,3,7,0,7476.06,18443.7,2954.43,0.90112,0.643332,0.560902,0.68381,0.934953,0.726185
-7472.51,1,0.299563,3,7,0,7476.13,18432.2,3013.47,0.892202,0.643252,0.550104,0.734212,0.883903,0.730896
-7475.32,0.820429,0.299563,3,7,0,7477.55,18269.8,3036.11,0.911013,0.67527,0.536887,0.706127,0.930573,0.773056
-7477.04,0.968701,0.299563,2,3,0,7477.43,18240.8,3054.23,0.91752,0.6738,0.535854,0.701129,0.93223,0.779737
-7472.37,0.978476,0.299563,3,7,0,7478.26,18523.1,2992.33,0.888047,0.66521,0.538348,0.731844,0.928221,0.726815
-7472.57,0.930478,0.299563,4,15,0,7475.11,18210.7,2763.66,0.884676,0.63436,0.531201,0.691939,0.925521,0.683091
-7473.22,0.992836,0.299563,3,15,0,7475.68,18410.5,2899.45,0.905944,0.651147,0.498773,0.73105,0.892485,0.685709
-7470.93,0.922756,0.299563,3,7,0,7475.89,18519.6,2919.94,0.888407,0.657563,0.543301,0.718354,0.921669,0.743705
-7473.11,0.820895,0.299563,4,15,0,7477.25,17926.5,2918.46,0.941165,0.672734,0.531258,0.728321,0.946664,0.709797
-7470.9,0.986458,0.299563,4,15,0,7474.79,18636.8,2785.35,0.885916,0.629513,0.543981,0.720997,0.872771,0.715567
-7474.85,0.938317,0.299563,3,7,0,7476.22,18790.1,2702.95,0.850743,0.631959,0.562796,0.728437,0.880955,0.725531
-7472.71,0.677176,0.299563,3,7,0,7479.58,18843.5,2787.59,0.899301,0.631084,0.546967,0.702384,0.871585,0.748064
-7472.36,0.981799,0.299563,3,15,0,7474.74,18413.2,2865.21,0.856585,0.658021,0.555456,0.706088,0.898457,0.712703
-7475.84,0.877345,0.299563,4,15,0,7478.82,19237,2863.94,0.879881,0.630363,0.502645,0.708491,0.884497,0.765437
-7472.45,1,0.299563,3,7,0,7476.95,18743.2,2800.34,0.883985,0.648041,0.53929,0.695216,0.848342,0.742154
-7473.29,0.686313,0.299563,3,15,0,7477.16,18448,2873.13,0.874555,0.677371,0.513122,0.715144,0.917894,0.745132
-7469.9,0.986338,0.299563,3,7,0,7475.98,18619.5,2873.15,0.882182,0.643223,0.538195,0.699383,0.886525,0.70356
-7470.43,0.919426,0.299563,4,15,0,7471.05,18626.9,2802.06,0.875098,0.650151,0.528061,0.719002,0.87413,0.73919
-7471.93,0.994183,0.299563,3,15,0,7473.42,18384.6,2901.48,0.88679,0.657997,0.545286,0.690173,0.907778,0.670038
-7470.89,0.910218,0.299563,3,7,0,7474.37,18306.4,2860.2,0.894472,0.64782,0.530521,0.708918,0.892013,0.664361
-7473.09,0.830586,0.299563,4,15,0,7476.59,18816.7,2858.61,0.847347,0.646611,0.503984,0.712246,0.86714,0.756328
-7472.62,0.988049,0.299563,3,7,0,7476.26,18685.2,2795.35,0.90704,0.633192,0.5153,0.68874,0.896821,0.707644
-7475.38,0.994468,0.299563,3,15,0,7479.43,18404,3133.36,0.882408,0.67594,0.552483,0.740085,0.935261,0.728468
-7474.62,0.975319,0.299563,4,15,0,7480.39,18286,3121.01,0.891948,0.680714,0.538153,0.737303,0.935723,0.744426
-7472.71,0.948843,0.299563,4,15,0,7478.32,18486,2857.68,0.875399,0.655354,0.563562,0.723066,0.925262,0.745485
-7473.2,0.915243,0.299563,4,15,0,7475.23,18752,2867.09,0.856851,0.653029,0.509162,0.70252,0.918663,0.734895
-7472.06,0.539473,0.299563,4,31,0,7479.68,18181.2,2942.73,0.907224,0.651147,0.558879,0.70847,0.9325,0.686967
-7473.39,0.921226,0.299563,4,15,0,7475.9,18674.1,2885.79,0.869915,0.668611,0.526586,0.737768,0.914734,0.767697
-7471.14,0.955573,0.299563,4,15,0,7475.17,18612.4,2865.84,0.86821,0.628913,0.538322,0.687373,0.874305,0.700185
-7473.62,0.76625,0.299563,3,7,0,7475.78,18592,2784.11,0.882866,0.646528,0.526238,0.735584,0.864516,0.759237
-7472.06,1,0.299563,4,15,0,7475.82,18393.7,2856.06,0.883689,0.635611,0.565688,0.703813,0.895153,0.709411
