# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_modified_model
# start_datetime = 2024-11-24 17:46:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_424.json
# init = 2 (Default)
# random
#   seed = 1718728181 (Default)
# output
#   file = output_model_modified/output_424.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.513649
# Diagonal elements of inverse mass matrix:
# 194288, 0.00131924, 0.00575844, 0.00945241, 0.0067133, 0.0154481, 0.00546086, 0.0147396
-8093.72,0.998675,0.513649,3,15,0,8099.52,38349.3,5090.91,0.644178,0.769614,0.660581,0.780038,0.283775,0.623726
-8092.57,0.936746,0.513649,3,7,0,8098.34,38341.5,5433.9,0.64577,0.748762,0.674765,0.707827,0.247971,0.623029
-8092.08,1,0.513649,3,7,0,8093.88,38560.9,5100.21,0.640085,0.766304,0.670948,0.779266,0.249716,0.663998
-8094.83,0.7686,0.513649,3,7,0,8099.86,38239,5059.77,0.669547,0.739253,0.640828,0.730871,0.270146,0.614059
-8091.11,0.948216,0.513649,3,7,0,8099.29,38436.2,5181.85,0.64735,0.771975,0.685375,0.765566,0.275224,0.65869
-8093.33,0.927471,0.513649,3,7,0,8097.68,38758.6,5154.92,0.628067,0.746393,0.649282,0.704177,0.246724,0.609457
-8093.72,0.801377,0.513649,3,7,0,8099.15,38162,5445.79,0.657995,0.779765,0.693227,0.813978,0.271842,0.688514
-8092.37,0.965946,0.513649,3,7,0,8096.82,38141.6,5490.56,0.671011,0.78867,0.66126,0.77803,0.246232,0.67017
-8092.06,0.982485,0.513649,3,7,0,8095.39,38048.9,5205.23,0.639193,0.758587,0.690587,0.716252,0.259139,0.607075
-8092.63,0.920629,0.513649,3,7,0,8096.43,37810.9,5162.2,0.659897,0.754903,0.692307,0.731681,0.26187,0.596263
-8094.76,0.941023,0.513649,3,7,0,8097.06,38071.1,5745.54,0.646054,0.81422,0.662796,0.793974,0.257653,0.661806
-8095.22,0.995425,0.513649,3,7,0,8096.82,38050.6,5644.83,0.650115,0.811773,0.658481,0.806746,0.255696,0.672102
-8097.36,0.517002,0.513649,3,7,0,8104.87,37925.7,5910.49,0.689834,0.774332,0.673234,0.749054,0.253301,0.599653
-8094.39,0.914263,0.513649,2,3,0,8099.71,37844.5,5571.33,0.691372,0.777666,0.683816,0.767408,0.25943,0.596431
-8094.25,0.98484,0.513649,3,7,0,8098.18,37818.8,5295.61,0.627195,0.790286,0.66929,0.785102,0.288842,0.637175
-8092.76,0.941756,0.513649,3,7,0,8098.44,38364.9,5713.67,0.671844,0.787589,0.684326,0.785667,0.247869,0.682008
-8094.94,0.705413,0.513649,3,15,0,8098.52,38082.4,5664.39,0.672598,0.776262,0.672177,0.761684,0.245051,0.697383
-8091.63,0.969522,0.513649,3,15,0,8098.51,38553.8,5351.2,0.638504,0.763532,0.650834,0.774217,0.278647,0.636742
-8093.73,0.906818,0.513649,3,7,0,8095.67,38439.1,5224.35,0.659405,0.766304,0.691986,0.724597,0.243965,0.600116
-8090.64,0.961678,0.513649,3,7,0,8095.7,38389.9,5244.59,0.63949,0.756833,0.662828,0.777954,0.271098,0.638513
-8091.15,0.966442,0.513649,3,7,0,8093.04,38411.7,5543.36,0.636312,0.772697,0.663319,0.770081,0.267361,0.672785
-8090.19,0.95539,0.513649,3,7,0,8094.51,38104.7,5176.53,0.652595,0.756432,0.674737,0.737043,0.266481,0.615743
-8092.9,0.761173,0.513649,3,7,0,8095,38382.5,5703.71,0.662273,0.754185,0.688213,0.743457,0.250699,0.668392
-8091.45,0.94258,0.513649,3,7,0,8098.11,37814.5,5366.27,0.641648,0.787678,0.662105,0.779636,0.265364,0.642632
-8092.9,0.831792,0.513649,3,7,0,8097.03,38424.7,5433.25,0.654199,0.739248,0.687751,0.714212,0.257917,0.639876
-8093.62,0.913897,0.513649,3,7,0,8097.41,37545.5,5440.02,0.652016,0.805575,0.675201,0.809458,0.26787,0.644397
-8096.37,0.918874,0.513649,3,7,0,8098.08,37940.9,5764.25,0.65898,0.768945,0.733437,0.744356,0.255132,0.647412
-8099.19,0.881187,0.513649,3,7,0,8101.8,38448.8,5239.37,0.641656,0.759331,0.600494,0.769855,0.26023,0.615127
-8096.75,1,0.513649,3,7,0,8101.24,37748.6,5713.61,0.680127,0.785707,0.7403,0.764364,0.259955,0.66344
-8095.16,0.886528,0.513649,3,7,0,8099.55,38386.6,5346.1,0.636242,0.771772,0.633424,0.798171,0.268759,0.629753
-8092.23,0.925452,0.513649,2,7,0,8097.61,37902.9,5381.36,0.631514,0.780269,0.668008,0.763608,0.268755,0.662715
-8090.06,0.917754,0.513649,2,7,0,8094.25,38267.9,5522.04,0.649263,0.759616,0.669811,0.75032,0.263782,0.652157
-8090.64,0.910994,0.513649,3,7,0,8093.01,38458,5150.36,0.641894,0.777131,0.680302,0.741122,0.255094,0.652772
-8095.84,0.739204,0.513649,3,7,0,8098.87,39358.9,5595.34,0.624773,0.727779,0.648093,0.737296,0.26819,0.663828
-8092.82,0.990138,0.513649,3,7,0,8099.2,37956.4,5071.41,0.650082,0.788295,0.662473,0.759926,0.25147,0.647239
-8092.15,1,0.513649,3,7,0,8094.11,38899.2,5521.16,0.630037,0.738232,0.677407,0.73643,0.258768,0.64408
-8091.16,0.95929,0.513649,3,7,0,8093.72,38082.8,5119.76,0.662141,0.772705,0.670784,0.759754,0.267365,0.616233
-8092.18,0.938688,0.513649,3,7,0,8095.89,39204.7,5420.75,0.626278,0.744039,0.666584,0.74072,0.260002,0.64508
-8096.13,0.83577,0.513649,2,3,0,8097.01,39303.2,5293.75,0.599523,0.752306,0.667856,0.728306,0.263368,0.678394
-8098.97,0.911454,0.513649,3,7,0,8101.32,39625.1,5280.2,0.608524,0.764315,0.675602,0.71498,0.272203,0.680179
-8095.93,1,0.513649,3,7,0,8102.79,39396.2,5283.76,0.613619,0.756234,0.680383,0.736082,0.256261,0.699764
-8094.11,1,0.513649,3,15,0,8097.02,37346.7,5441.06,0.68101,0.769301,0.66912,0.764979,0.26056,0.58681
-8091.85,0.866294,0.513649,2,3,0,8096.51,37758.4,5571.08,0.677427,0.778399,0.677553,0.751065,0.271451,0.617544
-8090.7,0.947048,0.513649,3,7,0,8093.77,38115.2,5585.72,0.670281,0.759682,0.681181,0.761777,0.26529,0.643647
-8091.04,0.974528,0.513649,3,7,0,8092.51,38133.9,5468.03,0.625729,0.77935,0.666981,0.756313,0.253066,0.63136
-8091.25,0.919086,0.513649,3,15,0,8094.29,38222.4,5458.33,0.658941,0.7836,0.694254,0.784966,0.251787,0.63905
-8090.6,0.990623,0.513649,3,15,0,8092.86,38563.7,5465.45,0.660182,0.756086,0.667243,0.755199,0.255993,0.673609
-8091.14,0.830559,0.513649,3,7,0,8096.46,37811.1,5390.57,0.641358,0.776038,0.688973,0.776848,0.250907,0.653013
-8093.53,0.68432,0.513649,2,7,0,8099.49,38629.3,5339.68,0.638818,0.781395,0.702373,0.785183,0.254847,0.670061
-8094.05,0.969683,0.513649,3,7,0,8099.18,38422.2,5062.23,0.675019,0.748621,0.676512,0.717802,0.264445,0.618359
-8094.86,0.974248,0.513649,3,7,0,8100.51,38950.9,5537.31,0.604252,0.759616,0.653695,0.76968,0.264251,0.662059
-8092.83,0.968572,0.513649,3,7,0,8098.69,38299.4,5086.93,0.646101,0.726536,0.673959,0.74763,0.249006,0.610357
-8092.69,0.83705,0.513649,3,7,0,8097.9,38178.7,5338.84,0.653279,0.782069,0.663152,0.718104,0.23996,0.609975
