# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_modified_model
# start_datetime = 2024-11-24 17:46:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_460.json
# init = 2 (Default)
# random
#   seed = 1718734038 (Default)
# output
#   file = output_model_modified/output_460.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.158689
# Diagonal elements of inverse mass matrix:
# 16267.1, 0.000861012, 3.8055, 0.0127201, 3.33374, 2.94304, 0.0455183, 0.132249
-6914.55,0.701026,0.158689,3,7,0,6925.25,9659.68,1744.83,0.970286,0.713473,0.982697,0.95834,0.871502,0.723982
-6912.11,0.990669,0.158689,4,15,0,6916.44,9714.3,1608.75,0.984436,0.707566,0.975855,0.945809,0.870452,0.821839
-6911.54,0.990841,0.158689,4,15,0,6913.04,9714.35,1600.48,0.946465,0.721348,0.970851,0.945172,0.860731,0.766909
-6912.76,0.871157,0.158689,4,31,0,6914.75,9815.13,1631.91,0.928259,0.681774,0.971608,0.936436,0.86154,0.751826
-6913.82,0.717116,0.158689,4,15,0,6917.35,9752.7,1641.38,0.975686,0.70233,0.960225,0.972988,0.842846,0.812348
-6913.77,0.873262,0.158689,5,31,0,6917.03,9766.69,1630.63,0.940556,0.733712,0.995708,0.940995,0.88427,0.837689
-6914.06,0.928755,0.158689,4,15,0,6916.37,9737.62,1626.76,0.978945,0.742426,0.997104,0.962933,0.864314,0.81988
-6913.42,1,0.158689,3,7,0,6915.95,9759.96,1650.68,0.965074,0.745089,0.99392,0.965226,0.863044,0.829612
