# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_modified_model
# start_datetime = 2024-11-24 17:44:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_33.json
# init = 2 (Default)
# random
#   seed = 1718611190 (Default)
# output
#   file = output_model_modified/output_33.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.17957
# Diagonal elements of inverse mass matrix:
# 504598, 0.00128009, 0.66641, 1.62452, 0.0110305, 0.00828568, 0.00729356, 0.0195187
-8245.05,0.99666,0.17957,4,15,0,8246.31,47707.4,7398.85,0.898219,0.894177,0.665396,0.542806,0.625339,0.560554
-8245.1,0.733281,0.17957,4,15,0,8249.15,47597.6,7122.83,0.96288,0.923501,0.629367,0.557087,0.65967,0.579496
-8249.05,0.926675,0.17957,4,15,0,8252.18,47191.6,7296.01,0.926398,0.955877,0.679065,0.555543,0.668015,0.505213
-8248.97,0.984241,0.17957,4,15,0,8252.57,48208.3,7431.9,0.916721,0.945509,0.619598,0.536471,0.63041,0.644312
-8247.75,0.969064,0.17957,5,31,0,8253.15,46493.8,7528.03,0.988391,0.978012,0.66091,0.570037,0.657668,0.588937
-8248.23,0.859189,0.17957,3,15,0,8256.88,47904,7708.66,0.981998,0.891875,0.653049,0.58094,0.637753,0.598422
-8250.31,0.984949,0.17957,4,15,0,8255.84,47223.1,7526.46,0.940715,0.975412,0.643274,0.570975,0.712754,0.57533
-8250.47,0.960948,0.17957,4,31,0,8253.52,47221.5,7952.65,0.988691,0.974494,0.703879,0.552043,0.652935,0.581866
-8248.16,0.996445,0.17957,4,31,0,8252.01,47102.7,7869.26,0.980424,0.939714,0.704288,0.558775,0.642844,0.582891
-8253.59,0.940787,0.17957,4,15,0,8256.38,46456.5,8107.78,0.984534,0.964841,0.731131,0.595185,0.637382,0.602175
-8247.65,0.991757,0.17957,5,31,0,8256.92,46946.2,7928.61,0.973738,0.946619,0.70323,0.5706,0.681556,0.605491
-8247.29,0.96583,0.17957,5,31,0,8251.49,48788.1,6856.78,0.933732,0.890117,0.610151,0.541772,0.624372,0.565715
-8244.82,0.91226,0.17957,5,31,0,8252.71,48853.7,7351.52,0.90175,0.922162,0.668913,0.55041,0.643064,0.632752
-8243.47,0.655923,0.17957,4,31,0,8248.19,47952,7115.4,0.940283,0.913013,0.642146,0.539112,0.653198,0.607555
-8246.35,0.86195,0.17957,3,7,0,8247.75,47848.5,7007.74,0.923368,0.946517,0.646656,0.536264,0.655772,0.61976
-8247.88,0.943378,0.17957,3,7,0,8250.5,47604.4,7013.8,0.925999,0.954225,0.644955,0.533503,0.652292,0.625128
-8251.36,0.960771,0.17957,4,31,0,8254,47699.2,7518.51,0.974878,0.912945,0.653121,0.578366,0.674735,0.504638
-8249.88,1,0.17957,4,15,0,8252.9,46555.7,7606.75,0.959938,0.977269,0.626612,0.535953,0.66056,0.591272
-8246.01,1,0.17957,3,7,0,8250.19,46941.1,7541.11,0.963048,0.963709,0.641227,0.53989,0.656678,0.583634
-8246.18,0.807014,0.17957,4,23,0,8248.57,46795.2,7545.3,0.969109,0.951745,0.643436,0.53862,0.65767,0.581691
-8246.74,0.918249,0.17957,4,15,0,8250.96,46821.7,7543.31,0.965734,0.918886,0.650498,0.536735,0.657056,0.586727
