# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_modified_model
# start_datetime = 2024-11-24 17:50:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_982.json
# init = 2 (Default)
# random
#   seed = 1718984632 (Default)
# output
#   file = output_model_modified/output_982.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.246849
# Diagonal elements of inverse mass matrix:
# 6211.24, 0.000720904, 0.0177312, 4.09478, 0.00989915, 3.1378, 2.00814, 0.01664
-7016.15,0.80546,0.246849,4,15,0,7018.71,9035.73,1505.78,0.254014,0.985259,0.381184,0.998225,0.965318,0.421179
-7016.12,0.994313,0.246849,4,15,0,7018.47,9033.08,1507.55,0.240187,0.948054,0.380259,0.994478,0.972328,0.388693
-7013.86,0.825908,0.246849,3,15,0,7019.38,9193,1546.08,0.221582,0.983142,0.365253,0.990764,0.899811,0.428414
-7014.67,0.629767,0.246849,2,7,0,7017.8,9198.51,1551.57,0.223428,0.987544,0.366392,0.996374,0.897235,0.419753
-7015.91,0.474587,0.246849,4,15,0,7026.03,9203.33,1502.07,0.220248,0.996372,0.408261,0.92893,0.954336,0.403152
-7015.35,0.483942,0.246849,3,7,0,7019.99,9168.37,1464.91,0.204009,0.9445,0.401049,0.958021,0.960645,0.422893
-7014.23,0.823524,0.246849,3,7,0,7019.71,9132.67,1524.65,0.226267,0.996647,0.371456,0.966152,0.971375,0.400436
-7018.15,0.959287,0.246849,3,7,0,7020.23,9063.8,1525.61,0.182506,0.9966,0.402959,0.988813,0.931331,0.435311
-7015.99,0.978643,0.246849,4,15,0,7020.49,9133.6,1502.11,0.201548,0.999474,0.390947,0.970613,0.949672,0.426493
-7016.32,0.983084,0.246849,4,15,0,7017.59,9119.08,1492.49,0.206564,0.99929,0.393683,0.990781,0.939045,0.423865
-7015.32,0.86315,0.246849,4,15,0,7019.41,9100.51,1598.88,0.247298,0.972641,0.372745,0.955985,0.974475,0.387004
-7015.52,0.922958,0.246849,4,15,0,7018.08,9228.12,1471.83,0.230944,0.99306,0.387008,0.98319,0.934428,0.420959
-7015.14,0.912397,0.246849,3,15,0,7018.7,9203.95,1490.87,0.224229,0.989624,0.382711,0.972658,0.885992,0.370166
