# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_modified_model
# start_datetime = 2024-11-24 17:44:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_28.json
# init = 2 (Default)
# random
#   seed = 1718611037 (Default)
# output
#   file = output_model_modified/output_28.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.232607
# Diagonal elements of inverse mass matrix:
# 249511, 0.000595013, 0.464793, 0.0051451, 3.27339, 0.930006, 0.0352532, 0.503974
-7840.36,0.769769,0.232607,2,3,0,7844.24,31921.5,5793.42,0.917755,0.559256,0.990644,0.945171,0.857448,0.992806
-7840.61,0.962488,0.232607,3,7,0,7842.5,31950.1,5837.67,0.914192,0.569222,0.988796,0.947823,0.8424,0.989288
-7839.87,0.98512,0.232607,3,7,0,7841.6,32000.6,5742.3,0.944823,0.560098,0.971912,0.942793,0.840957,0.990228
-7838.97,0.96998,0.232607,4,15,0,7840.75,32250.7,5606.08,0.906088,0.550389,0.958712,0.939578,0.843043,0.970494
-7841.17,0.526956,0.232607,4,15,0,7842.67,32083.4,5495.51,0.934922,0.539712,0.99478,0.941115,0.835802,0.98674
-7841.12,0.626684,0.232607,3,15,0,7844.7,31554.4,5624.33,0.934328,0.54666,0.999105,0.959167,0.854776,0.988253
-7843.52,0.950874,0.232607,4,15,0,7845.91,30778.8,5603.87,0.947891,0.607574,0.995706,0.966244,0.885825,0.974797
-7841.81,0.995275,0.232607,4,15,0,7846.47,31081.4,5620.12,0.947349,0.567932,0.995452,0.97017,0.859561,0.994699
-7840.14,0.982179,0.232607,4,15,0,7842.39,31968,5620.9,0.927173,0.55387,0.990107,0.927146,0.827546,0.961488
-7839.46,0.532038,0.232607,2,7,0,7843.73,31916.2,5638.14,0.919125,0.549269,0.991945,0.939969,0.837896,0.972783
-7839.36,0.775693,0.232607,4,15,0,7842.02,32385.1,5676.31,0.914019,0.560314,0.983568,0.94271,0.844528,0.985538
-7840.75,0.917444,0.232607,4,15,0,7842.17,31812.5,5721.45,0.92315,0.544081,0.968974,0.960816,0.864853,0.985493
-7839.77,0.934415,0.232607,4,15,0,7844.55,31246.7,5531.94,0.950335,0.566551,0.994945,0.969919,0.876788,0.983785
-7842.09,0.885487,0.232607,4,15,0,7847.23,31865.5,5879.81,0.933089,0.561047,0.962396,0.968682,0.862433,0.986376
-7843.46,0.623066,0.232607,3,11,0,7851.02,32214.9,5918.67,0.892647,0.570048,0.975433,0.916189,0.836583,0.98696
-7846.55,0.483226,0.232607,4,15,0,7851.63,30788.3,5304.62,0.954479,0.559595,0.994989,0.966009,0.879368,0.992432
-7844.57,0.927043,0.232607,4,15,0,7852.4,31347.6,5334.57,0.961356,0.589518,0.991877,0.959592,0.88541,0.99528
-7843.14,0.831345,0.232607,3,7,0,7848.73,31136.2,5460.33,0.950648,0.566882,0.99843,0.985835,0.872393,0.995777
-7841.45,0.998382,0.232607,4,15,0,7844.67,31553.2,5835.25,0.942094,0.582232,0.987036,0.959898,0.880457,0.97168
-7842.07,0.783881,0.232607,4,15,0,7849.59,31522.5,5865.07,0.951381,0.576668,0.9698,0.95681,0.866914,0.966594
-7840.15,0.980039,0.232607,4,15,0,7844.98,32049,5515.99,0.924486,0.553234,0.992984,0.934445,0.84894,0.992687
-7841.45,0.977774,0.232607,4,15,0,7844.14,31042.8,5778.3,0.95663,0.585429,0.991859,0.974352,0.883342,0.966495
-7845.97,0.920605,0.232607,4,15,0,7849.33,30366.9,5579.96,0.983765,0.583599,0.999409,0.98968,0.909198,0.993102
-7844.96,0.980083,0.232607,4,31,0,7850.45,31477.5,5532.25,0.9508,0.585908,0.980975,0.983644,0.842947,0.997235
-7843.89,0.964175,0.232607,4,15,0,7848.38,30985.8,5517.64,0.955594,0.583659,0.997389,0.973021,0.893142,0.99809
-7841.9,0.957057,0.232607,4,15,0,7847.13,32559.2,5718.98,0.925771,0.549039,0.977551,0.9395,0.824916,0.996561
-7840.75,0.893127,0.232607,4,15,0,7844.63,32028.9,5692.75,0.933034,0.546347,0.984797,0.959371,0.868322,0.978962
-7839.64,0.988109,0.232607,4,23,0,7841.7,32551.9,5506.1,0.90796,0.568261,0.97035,0.938759,0.833572,0.972347
-7839.84,0.650137,0.232607,4,15,0,7844.73,32591.5,5533.77,0.930148,0.552401,0.966183,0.922459,0.832407,0.963154
-7842.36,0.865499,0.232607,3,7,0,7844.22,32655.7,5447.44,0.929931,0.540038,0.947913,0.930771,0.803583,0.944593
-7841.89,0.281793,0.232607,4,31,0,7845.85,33006.2,5665.15,0.922992,0.55724,0.930963,0.924177,0.830639,0.983979
-7845.87,0.105303,0.232607,4,15,0,7850.32,33015.1,5719.91,0.941454,0.560927,0.927021,0.900528,0.822461,0.982139
-7851.27,0.101666,0.232607,4,15,0,7857.45,32796.6,5848.39,0.881615,0.563757,0.995895,0.927189,0.778835,0.986864
-7847.09,0.706357,0.232607,3,15,0,7857.35,31518.4,5936.31,0.957637,0.566088,0.955662,0.939874,0.867308,0.943903
-7844.97,1,0.232607,4,15,0,7852.69,31517.5,5871.52,0.969946,0.563439,0.974588,0.957102,0.871974,0.94819
-7842.58,0.903875,0.232607,4,15,0,7849.62,31444.2,5697.7,0.96741,0.581809,0.999358,0.957452,0.86756,0.993552
-7846.31,0.946929,0.232607,4,15,0,7849.8,32200.3,5351.39,0.948638,0.535838,0.999,0.941342,0.848785,0.98852
