# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_modified_model
# start_datetime = 2024-11-24 17:47:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_695.json
# init = 2 (Default)
# random
#   seed = 1718811272 (Default)
# output
#   file = output_model_modified/output_695.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.237593
# Diagonal elements of inverse mass matrix:
# 64918.3, 0.00127877, 3.73879, 1.60702, 0.0147338, 0.027746, 0.00427743, 0.103878
-7256.46,0.983484,0.237593,2,3,0,7261.29,15487.1,2465.41,0.979549,0.9757,0.693204,0.801097,0.603507,0.928937
-7254.46,0.998293,0.237593,4,15,0,7257.51,15515.7,2534.13,0.971875,0.939299,0.659748,0.823925,0.594181,0.888912
-7256.85,0.667225,0.237593,3,7,0,7257.75,15607.9,2588.35,0.974568,0.97454,0.656259,0.827052,0.598058,0.894303
-7257.02,0.607991,0.237593,3,15,0,7260.31,15618.2,2514.8,0.988905,0.968559,0.678007,0.800272,0.611457,0.926398
-7255.46,1,0.237593,4,15,0,7258.87,15369,2479.79,0.966074,0.959382,0.69134,0.82056,0.61839,0.912434
-7256.15,0.629,0.237593,3,7,0,7258.92,15421.1,2471.69,0.981889,0.978594,0.682481,0.824311,0.621011,0.927493
-7255.8,0.952401,0.237593,4,15,0,7259.45,15496.4,2586.49,0.989627,0.958321,0.687711,0.822485,0.590657,0.930464
-7260.35,0.822358,0.237593,4,15,0,7262.85,15248.7,2573.04,0.999908,0.9833,0.723567,0.828509,0.630934,0.913291
-7258.09,0.999592,0.237593,4,15,0,7261.82,15390,2529.39,0.998143,0.964924,0.691762,0.858632,0.600129,0.930135
-7256.13,0.982294,0.237593,4,15,0,7259.36,15471.8,2521.95,0.996377,0.970197,0.684965,0.799082,0.602534,0.877968
-7256.22,0.997734,0.237593,3,15,0,7257.47,15430.4,2512.62,0.997101,0.972909,0.684585,0.80032,0.604465,0.869073
-7257.7,0.968123,0.237593,4,15,0,7259.89,15558.6,2494.12,0.999256,0.940143,0.649101,0.794514,0.584154,0.886981
-7260.09,0.500912,0.237593,4,15,0,7264.96,15386,2443.35,0.996081,0.995158,0.656686,0.817736,0.629035,0.839974
