# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_modified_model
# start_datetime = 2024-11-24 17:49:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_827.json
# init = 2 (Default)
# random
#   seed = 1718914363 (Default)
# output
#   file = output_model_modified/output_827.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.150285
# Diagonal elements of inverse mass matrix:
# 65752.7, 0.000889672, 4.17103, 0.0154468, 0.862486, 4.2166, 3.80368, 0.0836645
-7547.73,0.981504,0.150285,3,15,0,7550.14,21080.9,3743.97,0.995695,0.677906,0.977883,0.981008,0.998908,0.516289
-7547.83,0.966398,0.150285,4,15,0,7550.3,21193.8,3752.15,0.991649,0.684641,0.978807,0.986755,0.998498,0.52645
-7552.37,0.989018,0.150285,4,31,0,7555.26,20816.6,3719.12,0.944603,0.641158,0.989748,0.943909,0.999524,0.427677
-7551.52,0.993348,0.150285,4,15,0,7554.59,21102.3,3562.03,0.995114,0.66043,0.992002,0.990195,0.995738,0.40365
-7549.83,0.991698,0.150285,4,31,0,7555.27,20935,3650.76,0.997006,0.655817,0.996092,0.99351,0.989672,0.489458
-7550.63,0.973907,0.150285,4,31,0,7553.34,20746.8,3753.88,0.960652,0.710591,0.996261,0.996207,0.99526,0.423876
-7548.29,0.992782,0.150285,4,31,0,7551.93,21188.8,3617.51,0.953095,0.698174,0.994987,0.952957,0.9927,0.642662
-7549.69,0.916148,0.150285,4,15,0,7551.3,21211.2,3529.66,0.974664,0.692716,0.993128,0.993887,0.989144,0.631567
-7551.84,0.980407,0.150285,4,15,0,7555.13,20924.4,3515.48,0.975247,0.713968,0.993135,0.933081,0.969306,0.588525
-7550.5,0.960591,0.150285,4,31,0,7557.31,21002.7,3746.32,0.981606,0.74756,0.953213,0.999595,0.99975,0.502337
-7551.19,0.989911,0.150285,5,31,0,7553.37,21736.8,3612.03,0.965398,0.672112,0.898255,0.989534,0.995347,0.654728
-7546.16,0.523227,0.150285,4,15,0,7558.98,21491.6,3690.13,0.953633,0.681898,0.931357,0.992901,0.949724,0.633595
-7546.57,0.94379,0.150285,4,15,0,7549.19,20995,3655.67,0.950172,0.704787,0.945762,0.99476,0.985779,0.446352
-7549.24,0.983304,0.150285,4,15,0,7551.3,20999.7,3606.21,0.970469,0.709058,0.944021,0.988192,0.949646,0.395903
-7549.42,0.916344,0.150285,4,15,0,7555.06,21054.5,3856.79,0.996398,0.67692,0.94825,0.994619,0.998955,0.493003
-7547,0.993242,0.150285,5,31,0,7551.89,21120.4,3501.12,0.985379,0.720183,0.94993,0.93063,0.982781,0.539566
-7547.77,0.992536,0.150285,4,15,0,7550.48,21186.5,3519.71,0.995758,0.726495,0.908191,0.961016,0.985123,0.536693
-7547.81,0.992612,0.150285,4,31,0,7551.76,20970.2,3802.24,0.998708,0.713171,0.973694,0.986234,0.996011,0.513738
-7546.34,0.997537,0.150285,4,15,0,7549.79,21028.8,3697.84,0.98898,0.722764,0.976936,0.953316,0.969247,0.540658
-7545.74,1,0.150285,4,15,0,7547.33,21027.5,3715.53,0.967067,0.718073,0.945607,0.995109,0.997563,0.549677
-7545.29,0.977595,0.150285,5,31,0,7547.52,21479,3610.53,0.965918,0.664533,0.896768,0.97997,0.978115,0.554104
-7545.17,0.90081,0.150285,4,15,0,7547.19,21755.9,3630.83,0.956745,0.671178,0.927148,0.952782,0.928817,0.542191
-7544.09,0.998418,0.150285,3,7,0,7545.88,21826.6,3632.2,0.940839,0.659881,0.869088,0.901712,0.965645,0.552478
-7546.72,0.920091,0.150285,4,15,0,7548.03,21824.9,3547.03,0.944353,0.633563,0.927592,0.902761,0.917573,0.590838
-7545.62,0.946416,0.150285,4,31,0,7548.59,21857.6,3565.84,0.903708,0.635707,0.925464,0.895104,0.928281,0.59249
-7545.32,0.0466041,0.150285,5,31,0,7556.06,22126,3712.66,0.882113,0.679219,0.872596,0.92492,0.959781,0.626766
-7543.49,0.410514,0.150285,4,15,0,7548.07,22005.4,3665.93,0.917791,0.704399,0.918282,0.930066,0.912494,0.659499
