# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_modified_model
# start_datetime = 2024-11-24 17:46:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_236.json
# init = 2 (Default)
# random
#   seed = 1718704059 (Default)
# output
#   file = output_model_modified/output_236.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.129579
# Diagonal elements of inverse mass matrix:
# 314510, 0.00121279, 3.05072, 2.26588, 0.00947267, 0.103172, 1.0648, 0.0864041
-7546.39,0.986119,0.129579,5,31,0,7549.9,20458.3,3847,0.975905,0.985002,0.642034,0.862202,0.984004,0.790257
-7540.08,0.970459,0.129579,5,31,0,7548.07,21587.4,3570.32,0.918859,0.951108,0.602385,0.815857,0.924691,0.852042
-7540.35,0.921384,0.129579,4,15,0,7541.38,21410.2,3632.64,0.935411,0.918332,0.587882,0.835874,0.913716,0.836565
-7541.88,0.727833,0.129579,5,43,0,7546.3,21038.8,3731.07,0.950801,0.972711,0.625704,0.831166,0.931692,0.836363
-7545.73,0.992637,0.129579,5,31,0,7547.98,20405.6,3784.92,0.981736,0.985042,0.614475,0.89552,0.966856,0.754151
-7542.44,0.99575,0.129579,4,15,0,7547.94,20633.7,3641.04,0.966021,0.974502,0.633137,0.881561,0.965306,0.864807
-7545.39,0.858578,0.129579,5,47,0,7548.17,20521.8,3619.45,0.988328,0.979962,0.619054,0.870356,0.995535,0.813335
-7546.88,0.983593,0.129579,4,31,0,7551.7,20458.4,3430.54,0.992268,0.988349,0.608129,0.888331,0.974128,0.830225
-7547.51,0.986026,0.129579,4,31,0,7552.33,20494.2,3740.66,0.995327,0.978083,0.629477,0.914497,0.941253,0.772731
-7546.05,0.886937,0.129579,4,23,0,7551.99,20717.3,3662.57,0.950421,0.990353,0.61884,0.892527,0.984192,0.77951
-7543.93,0.928083,0.129579,3,15,0,7549.93,20393.1,3711.75,0.971752,0.995827,0.624574,0.871922,0.963125,0.789906
-7546.27,0.972417,0.129579,4,15,0,7548.11,20819,3735.47,0.973192,0.995055,0.647312,0.870817,0.941078,0.784972
-7548.16,0.999022,0.129579,4,15,0,7548.91,20557.3,3585.48,0.997208,0.998475,0.583204,0.878695,0.963671,0.85211
-7544.88,0.999925,0.129579,4,15,0,7549.29,20655.5,3592.21,0.997824,0.994658,0.605627,0.864416,0.955539,0.811816
-7546.1,0.961881,0.129579,4,31,0,7549.02,20476,3569.4,0.996666,0.995786,0.59951,0.858259,0.960492,0.830103
-7546.67,0.9807,0.129579,3,15,0,7553.2,20484.8,3655.24,0.993875,0.99782,0.585843,0.880615,0.978945,0.81101
-7544.57,0.916202,0.129579,4,23,0,7551.14,20749.6,3706.98,0.992585,0.957512,0.615164,0.858548,0.965308,0.789245
-7543.96,0.997535,0.129579,4,15,0,7545.69,21076,3602.3,0.919136,0.992011,0.604778,0.868935,0.942459,0.836461
-7542.6,0.997275,0.129579,3,15,0,7547.14,20903.2,3634.62,0.961137,0.993303,0.594055,0.872334,0.941793,0.833942
-7543.56,0.984057,0.129579,5,31,0,7545.32,21497.6,3634.5,0.924616,0.963531,0.631692,0.811388,0.897245,0.807497
-7545.22,0.916905,0.129579,4,31,0,7547.28,21381.3,3480.47,0.933945,0.957551,0.557228,0.850606,0.88477,0.794458
-7541.63,0.98479,0.129579,4,15,0,7547.43,21523.8,3511.04,0.91667,0.91537,0.589964,0.836657,0.936905,0.800224
-7540.28,0.945482,0.129579,4,31,0,7543.78,21464.2,3511.82,0.93152,0.931117,0.59188,0.841172,0.928581,0.806789
-7541.34,0.906071,0.129579,3,15,0,7544.74,21230.2,3510.69,0.942539,0.97051,0.578561,0.836818,0.918342,0.781508
-7540.62,0.95146,0.129579,4,27,0,7544.71,21386.4,3659.91,0.93277,0.95901,0.608493,0.84843,0.900823,0.843202
-7541.74,0.881308,0.129579,3,7,0,7543.01,21380.8,3634.56,0.943251,0.940057,0.608402,0.81689,0.945234,0.856868
-7546.73,0.718902,0.129579,5,31,0,7549.9,20305.1,3778.77,0.987434,0.969705,0.600318,0.895245,0.970932,0.829524
