# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2024-11-24 05:24:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_846.json
# init = 2 (Default)
# random
#   seed = 1674212412 (Default)
# output
#   file = output_model_baseline/output_846.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.45672
# Diagonal elements of inverse mass matrix:
# 0.000660773, 0.94856, 1.67546, 0.00832766, 0.778599, 0.0068741, 4.36169
-6994.4,0.990266,0.45672,3,7,0,6995.35,4414.85,0.988617,0.989841,0.771452,0.966706,0.706502,0.846434
-6999.8,0.734097,0.45672,3,7,0,7001.16,4790.81,0.972413,0.999928,0.787474,0.98545,0.67194,0.124826
-6999.53,0.856897,0.45672,3,7,0,7004.59,4448.41,0.991051,0.985313,0.765301,0.998266,0.728049,0.868872
-6996.07,1,0.45672,3,7,0,7000.41,4482.39,0.987587,0.986592,0.771268,0.99866,0.696518,0.796866
-7002.68,0.76083,0.45672,3,7,0,7003.68,4833.42,0.991323,0.997988,0.811479,0.998171,0.668876,0.0821573
-6999.54,0.998106,0.45672,3,7,0,7006.25,4672.29,0.99714,0.99954,0.770427,0.997661,0.668818,0.405841
-7002.49,0.508335,0.45672,2,7,0,7009.09,4889.23,0.996382,0.996505,0.794724,0.999148,0.703021,0.0893076
-7000.72,0.617496,0.45672,3,7,0,7006.82,4895.16,0.971155,0.994695,0.792689,0.999443,0.685591,0.850706
-6995.83,0.939392,0.45672,3,7,0,7002.79,4681.98,0.994136,0.994522,0.77142,0.996658,0.705133,0.676283
-6993.65,0.878784,0.45672,3,7,0,6999.37,4529.7,0.982963,0.991648,0.774958,0.967096,0.672435,0.0963673
-6992.98,0.958456,0.45672,3,7,0,6995.29,4515.86,0.976501,0.990862,0.785265,0.983756,0.69838,0.255683
-6992.45,0.979575,0.45672,3,7,0,6994.08,4592.95,0.980175,0.981993,0.772315,0.960863,0.695658,0.229475
-6995.3,0.316436,0.45672,3,7,0,6998.38,4595.4,0.962907,0.993967,0.788274,0.994641,0.705518,0.413685
-6994.76,0.290364,0.45672,2,3,0,7001.46,4567.63,0.990307,0.972806,0.785556,0.993503,0.700579,0.481192
-6993.13,0.924968,0.45672,2,7,0,6995.79,4683.7,0.984168,0.988494,0.785483,0.989058,0.689936,0.657673
-6994.9,0.86001,0.45672,3,7,0,6996.49,4556.82,0.995662,0.986267,0.776413,0.957543,0.707427,0.896624
-6998.61,0.634835,0.45672,3,7,0,7000.34,4686.87,0.997387,0.994423,0.753934,0.99442,0.715135,0.0658837
-6994.67,1,0.45672,3,7,0,6998.87,4640.82,0.996583,0.987231,0.770048,0.989105,0.703171,0.819049
-6994.43,0.995575,0.45672,3,7,0,6996.86,4598.43,0.961106,0.986753,0.768407,0.952615,0.703969,0.172165
-6995.1,1,0.45672,3,7,0,6996.47,4503.1,0.994634,0.988422,0.76763,0.989228,0.682705,0.925453
-6997.25,0.896973,0.45672,3,7,0,7002.91,4739.02,0.999401,0.984278,0.775828,0.979766,0.696078,0.0575278
-6994.19,0.990938,0.45672,3,7,0,6998.81,4426.45,0.981379,0.994131,0.773739,0.983955,0.691898,0.878009
-6994.32,0.413828,0.45672,3,7,0,6998.24,4483.27,0.979762,0.967143,0.766645,0.974558,0.696519,0.827675
-6995.07,1,0.45672,3,7,0,6996.68,4534.6,0.992,0.99641,0.763262,0.968565,0.671902,0.924562
-6994.59,0.979659,0.45672,3,7,0,6999.52,4466.11,0.993023,0.996896,0.765888,0.966749,0.671555,0.410729
-6992.86,0.925491,0.45672,3,7,0,6997.77,4498.06,0.984105,0.995796,0.778455,0.966739,0.681618,0.539633
-6998.86,0.671417,0.45672,3,7,0,7002.09,4354.51,0.98288,0.983825,0.725463,0.982814,0.689133,0.596231
-6996.34,0.987754,0.45672,3,7,0,7001.73,4707.78,0.980105,0.994536,0.805372,0.99577,0.690168,0.384078
-6995.36,0.982133,0.45672,3,7,0,6998.33,4451.24,0.990246,0.980727,0.759553,0.995503,0.685657,0.645044
-6996.97,0.273474,0.45672,3,7,0,6999.8,4560.18,0.996036,0.997795,0.757044,0.99236,0.693331,0.92695
-6994.1,0.93925,0.45672,3,7,0,6997.96,4466.42,0.98808,0.993209,0.762902,0.991276,0.693095,0.715006
-6995.71,0.939795,0.45672,3,7,0,6996.76,4517.04,0.988372,0.993191,0.753204,0.994459,0.710311,0.217974
-6997.69,0.937179,0.45672,3,7,0,7000.21,4553.79,0.973566,0.999788,0.764818,0.994111,0.680667,0.847839
-6997.52,0.93479,0.45672,3,7,0,7000.45,4575.07,0.975081,0.99964,0.761128,0.990413,0.688134,0.955945
-6994.66,0.68975,0.45672,3,7,0,7002.27,4712.59,0.973971,0.998715,0.783246,0.973544,0.706628,0.707057
-6992.4,0.958005,0.45672,3,7,0,6996.34,4650.34,0.986523,0.989522,0.75771,0.980498,0.691989,0.529585
-6994.08,0.842505,0.45672,3,7,0,6996.55,4588.92,0.968784,0.997255,0.790353,0.969301,0.694059,0.175696
-6995.26,0.510636,0.45672,3,7,0,6998.3,4632.91,0.9976,0.987091,0.762315,0.986547,0.70572,0.140361
-6997.74,0.714849,0.45672,3,7,0,7000.14,4547.91,0.990341,0.999771,0.789784,0.981494,0.668191,0.856946
-6998.06,0.992906,0.45672,3,7,0,7001.71,4529.09,0.996226,0.999614,0.757535,0.972404,0.659936,0.64393
-6998.29,0.994811,0.45672,3,7,0,7001.57,4521.85,0.96616,0.999901,0.777887,0.979863,0.718497,0.323415
-6998.98,0.61501,0.45672,3,7,0,7003.77,4629.36,0.997661,0.958646,0.7663,0.983134,0.661807,0.0861939
-6996.69,0.987026,0.45672,3,7,0,7002.96,4686.94,0.952003,0.998952,0.766929,0.987367,0.693364,0.776034
-6995.71,0.698153,0.45672,3,7,0,7002.37,4642.98,0.955843,0.998744,0.768094,0.974688,0.710215,0.310931
-6998.33,0.88571,0.45672,3,7,0,7001.38,4861.75,0.997414,0.966377,0.752665,0.984095,0.706161,0.413904
-6999.36,1,0.45672,3,7,0,7004.22,4592.4,0.991392,0.997741,0.821451,0.960278,0.718024,0.612483
-6999.58,0.679181,0.45672,3,7,0,7002.5,4596.46,0.98268,0.972223,0.826146,0.97722,0.715252,0.150608
-6995.44,0.602574,0.45672,3,7,0,7003.47,4637.96,0.972743,0.999024,0.771945,0.96818,0.71022,0.103002
-6997.28,0.756927,0.45672,3,7,0,7001.17,4482.73,0.98792,0.99452,0.755064,0.992343,0.658023,0.873472
-6995.48,0.829912,0.45672,3,7,0,7001.1,4582.15,0.992545,0.983805,0.755569,0.993806,0.668344,0.745248
-6995.2,0.905685,0.45672,3,7,0,7001.31,4636.18,0.994179,0.987121,0.786016,0.989035,0.718997,0.666545
-6994.74,0.993728,0.45672,3,7,0,6997.06,4580.17,0.993964,0.986926,0.760899,0.971698,0.658722,0.722568
-6994.45,0.992954,0.45672,3,7,0,6997.63,4571.76,0.994466,0.987998,0.770239,0.979888,0.719489,0.261406
-6995.24,0.905292,0.45672,3,7,0,6997.83,4653.66,0.997761,0.986614,0.755332,0.991257,0.697369,0.585539
-6996.27,0.89689,0.45672,3,7,0,6997.96,4443.27,0.997604,0.986851,0.762452,0.960128,0.699708,0.0778162
-6995.1,0.9842,0.45672,3,7,0,6999.33,4701.01,0.993469,0.986101,0.803742,0.982492,0.695793,0.766297
-6998.21,0.933288,0.45672,3,7,0,7002.75,4389.35,0.999675,0.99002,0.785069,0.963483,0.688532,0.174371
-6997.88,0.940223,0.45672,3,7,0,7000.28,4811.63,0.999217,0.993165,0.758079,0.985041,0.695335,0.861704
-7001.63,0.92983,0.45672,3,7,0,7004.72,4890.33,0.99946,0.976743,0.798062,0.9574,0.716296,0.107853
-6998.46,0.642308,0.45672,3,7,0,7004.26,4465.01,0.976504,0.99594,0.742996,0.995897,0.668355,0.888859
-6998.55,0.285809,0.45672,3,7,0,7003.67,4464.17,0.982251,0.998987,0.754471,0.997561,0.670783,0.802836
-6997.79,0.97158,0.45672,3,7,0,7003.15,4467.9,0.990222,0.999894,0.77294,0.980496,0.713759,0.551633
-6998.54,0.80504,0.45672,3,7,0,7002.59,4616.69,0.990179,0.999276,0.738138,0.996564,0.690882,0.37532
-6993.8,0.592678,0.45672,2,7,0,7000.86,4596.71,0.992714,0.993259,0.748994,0.982552,0.684544,0.604944
-6994.86,0.261363,0.45672,3,7,0,6998.36,4540.65,0.983381,0.957472,0.778124,0.974679,0.686066,0.343447
-6997.18,0.326886,0.45672,3,7,0,6998.67,4632.26,0.981469,0.999835,0.775651,0.970905,0.678034,0.946827
-7000.51,0.947634,0.45672,3,7,0,7002.36,4565.25,0.979441,0.957709,0.81287,0.991009,0.710432,0.0786316
-6999.3,1,0.45672,3,7,0,7004.2,4666.36,0.97371,0.998462,0.730653,0.990334,0.667389,0.894277
-6994.53,0.56466,0.45672,3,7,0,7006.2,4638.44,0.984847,0.990506,0.737844,0.982116,0.685149,0.764385
-6995.16,0.967807,0.45672,3,7,0,6998.11,4532.47,0.9752,0.986241,0.751561,0.971182,0.715433,0.929089
-6993.91,0.926419,0.45672,3,7,0,6996.49,4598.3,0.988608,0.989969,0.777625,0.992265,0.684738,0.146257
-6995.44,0.423566,0.45672,3,7,0,6998.41,4633.68,0.998401,0.975783,0.778684,0.987967,0.701139,0.299647
-6993.15,0.216204,0.45672,3,7,0,7002.33,4624.87,0.996099,0.99245,0.770031,0.965885,0.690853,0.532205
-6995.25,0.952266,0.45672,3,7,0,6996.49,4580.83,0.999077,0.991313,0.758883,0.966794,0.698819,0.24639
-6996.3,0.893662,0.45672,3,7,0,6998.81,4695.69,0.993695,0.986004,0.78379,0.97821,0.652363,0.855925
-6997.44,0.963825,0.45672,3,7,0,6999.55,4499.47,0.980504,0.99347,0.74614,0.986906,0.728361,0.151488
-6996.59,1,0.45672,3,7,0,6999.61,4725.69,0.989105,0.991931,0.801095,0.972248,0.65293,0.343932
-6995.27,0.944904,0.45672,3,7,0,7000.17,4714.29,0.987944,0.983132,0.797155,0.986018,0.668986,0.181788
-6994.73,0.996927,0.45672,3,7,0,6997.76,4482.8,0.995807,0.992268,0.78735,0.988139,0.689293,0.274263
-6995.57,0.912956,0.45672,3,7,0,6999.68,4742.35,0.996917,0.987969,0.757297,0.986765,0.698566,0.847403
-6996.93,0.962403,0.45672,3,7,0,6999.65,4656.16,0.996862,0.985813,0.7728,0.991636,0.726584,0.25217
-6998.24,0.908193,0.45672,3,7,0,7001.41,4489.71,0.995932,0.993977,0.792277,0.991,0.698352,0.0148385
-6996.88,0.989411,0.45672,3,7,0,7002.21,4650.77,0.995225,0.98927,0.79951,0.997611,0.681555,0.532942
-6994.62,0.979562,0.45672,3,7,0,6998.33,4622.37,0.99643,0.9862,0.750807,0.957205,0.702684,0.521507
-6993.9,0.949112,0.45672,3,7,0,6996.69,4690.75,0.962978,0.988243,0.757555,0.986292,0.698976,0.709732
-6994.52,0.809052,0.45672,3,7,0,6996.01,4487.63,0.996606,0.98599,0.782505,0.988506,0.689004,0.312691
