# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2024-11-24 05:24:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_821.json
# init = 2 (Default)
# random
#   seed = 1674209695 (Default)
# output
#   file = output_model_baseline/output_821.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.377528
# Diagonal elements of inverse mass matrix:
# 0.000614588, 1.67595, 0.979154, 1.21215, 0.229059, 0.0349229, 3.65351
-7549.99,0.873823,0.377528,3,7,0,7554.66,9303.64,0.979432,0.996461,0.975478,0.949459,0.920424,0.0722557
-7548.59,0.81697,0.377528,3,7,0,7553.72,9245.78,0.991872,0.9958,0.974594,0.945209,0.915761,0.260158
-7549.2,0.916738,0.377528,3,7,0,7552.36,9806.36,0.979766,0.993119,0.980383,0.950239,0.900657,0.605919
-7553.76,0.849619,0.377528,3,7,0,7554.33,8714.8,0.997682,0.998211,0.993923,0.965605,0.898867,0.38922
-7555.09,0.954751,0.377528,3,7,0,7562.2,9196.82,0.997232,0.999799,0.964514,0.953284,0.861906,0.472563
-7551.68,1,0.377528,3,7,0,7557.45,9245.96,0.98383,0.999153,0.993134,0.959525,0.929299,0.213746
-7551.38,0.940666,0.377528,3,7,0,7554.2,9320.48,0.987379,0.99846,0.967434,0.939243,0.932722,0.475431
-7552.69,0.963028,0.377528,3,7,0,7555.89,9646.96,0.981765,0.994589,0.985256,0.948472,0.948292,0.498592
-7552.73,0.95809,0.377528,3,15,0,7556.07,9473.18,0.985594,0.993904,0.989056,0.952623,0.950602,0.722893
-7548.73,0.983455,0.377528,3,7,0,7554.53,9721.6,0.991673,0.985298,0.969023,0.959617,0.905409,0.384285
-7553.12,0.846676,0.377528,2,3,0,7554.37,9638.02,0.96324,0.962478,0.987784,0.928808,0.904627,0.311456
-7548.66,0.688239,0.377528,2,3,0,7555.48,9580.01,0.996916,0.981274,0.977574,0.950645,0.910371,0.577087
-7551.22,0.797692,0.377528,3,7,0,7553.3,8959.4,0.990846,0.994055,0.998899,0.964843,0.895789,0.363014
-7550.89,0.842487,0.377528,3,7,0,7555.1,9409.09,0.995326,0.997789,0.993896,0.944329,0.88512,0.879743
-7551.38,0.978045,0.377528,3,15,0,7554.62,9620.28,0.995012,0.997597,0.991246,0.93791,0.888339,0.885857
-7554.14,0.882487,0.377528,3,15,0,7557.82,9822.63,0.996646,0.990935,0.998402,0.973237,0.917491,0.889291
-7556.19,0.511881,0.377528,3,7,0,7559.21,9868.5,0.972369,0.995246,0.999433,0.9741,0.905292,0.955065
-7552.07,1,0.377528,3,7,0,7557.99,9506.36,0.995235,0.990868,0.999377,0.96408,0.88393,0.170697
-7549.62,0.720587,0.377528,2,7,0,7554.73,9305.87,0.996194,0.992944,0.996454,0.946603,0.887704,0.351376
-7548.86,0.784882,0.377528,3,7,0,7552.32,9118.06,0.981379,0.988749,0.978532,0.963001,0.919306,0.850874
-7549.73,0.949649,0.377528,3,15,0,7551.87,9654.9,0.991435,0.990731,0.983296,0.947484,0.912054,0.933601
-7551.3,0.963608,0.377528,3,15,0,7553.62,9003.2,0.996678,0.996237,0.977797,0.963039,0.924731,0.125248
-7552.21,0.876026,0.377528,3,7,0,7554.75,9127.42,0.976003,0.997717,0.974067,0.97239,0.922189,0.0447225
-7552.78,0.818676,0.377528,3,7,0,7555.83,9460.42,0.995492,0.999309,0.998388,0.954073,0.910941,0.844129
-7551.91,0.772307,0.377528,4,15,0,7558.96,9259.74,0.995981,0.987803,0.99798,0.960346,0.93095,0.835076
-7549.05,0.926759,0.377528,3,7,0,7554.55,9355.44,0.978936,0.992241,0.974813,0.949316,0.895609,0.0516259
-7548.87,0.41652,0.377528,3,7,0,7554.9,9477.95,0.984701,0.986817,0.9706,0.94972,0.910357,0.0710144
-7549.41,0.723732,0.377528,2,7,0,7555.49,9345.08,0.994145,0.993211,0.991723,0.977878,0.889303,0.30484
-7549.65,1,0.377528,3,7,0,7552.44,9549.23,0.990455,0.979537,0.99573,0.937487,0.903368,0.725229
-7548.7,0.955485,0.377528,3,7,0,7551.83,9300.04,0.978689,0.993118,0.975896,0.977649,0.898928,0.265574
-7547.75,0.990371,0.377528,3,7,0,7549.72,9496.29,0.993256,0.979654,0.98038,0.960201,0.897233,0.317811
-7550.81,0.89217,0.377528,3,7,0,7552.08,8800.7,0.978718,0.996988,0.983599,0.952983,0.907885,0.627933
-7550.58,0.772544,0.377528,3,7,0,7554.55,9309.14,0.998779,0.998534,0.991109,0.961321,0.894923,0.424588
-7552.55,0.943065,0.377528,3,7,0,7556.28,8889.78,0.998933,0.969013,0.97186,0.95844,0.911205,0.694408
-7551.3,0.932699,0.377528,3,7,0,7556,8832.36,0.994892,0.998444,0.989264,0.959684,0.906839,0.623615
-7549.35,0.972308,0.377528,3,7,0,7554,9651.91,0.992089,0.992232,0.99296,0.955199,0.916246,0.3148
-7549.51,0.976822,0.377528,3,7,0,7552.13,9250.67,0.99228,0.99075,0.972032,0.960374,0.868194,0.353558
-7550.49,0.885212,0.377528,4,15,0,7552.98,9399.84,0.99327,0.993266,0.988777,0.967785,0.93645,0.394518
-7549.77,0.979093,0.377528,3,15,0,7554.18,9173.82,0.984289,0.987674,0.972259,0.975441,0.875775,0.773488
-7549.48,0.869475,0.377528,3,7,0,7555.61,9264.9,0.997553,0.99158,0.987599,0.947619,0.91985,0.201177
-7549.35,0.963302,0.377528,3,7,0,7552.81,8983.9,0.983712,0.996015,0.990828,0.963013,0.90758,0.267668
-7548.03,1,0.377528,3,7,0,7550.49,9245.66,0.987127,0.990101,0.99286,0.956951,0.884792,0.538254
