# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2024-11-24 05:21:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_504.json
# init = 2 (Default)
# random
#   seed = 1674037585 (Default)
# output
#   file = output_model_baseline/output_504.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.382595
# Diagonal elements of inverse mass matrix:
# 0.000535005, 0.544803, 1.3525, 0.14482, 1.21905, 2.16977, 3.28579
-6894.92,0.976724,0.382595,3,7,0,6901.17,3927.35,0.951793,0.991206,0.954538,0.996332,0.998099,0.535063
-6894.88,0.936432,0.382595,3,7,0,6896.19,4041.23,0.975241,0.995586,0.9467,0.993658,0.994861,0.50321
-6896.61,0.959831,0.382595,3,7,0,6897.17,3973.71,0.94242,0.996704,0.939655,0.995739,0.995526,0.942014
-6900.51,0.788027,0.382595,3,7,0,6902.02,4101.53,0.984179,0.998837,0.957956,0.999468,0.995353,0.036332
-6896.87,0.997633,0.382595,3,7,0,6901.87,4057.76,0.96246,0.998661,0.960158,0.999021,0.990962,0.251735
-6895.46,0.907769,0.382595,3,7,0,6899.82,4039.37,0.95531,0.996879,0.944489,0.988672,0.997813,0.664671
-6896.9,0.918339,0.382595,3,7,0,6899.26,4074.44,0.9434,0.997169,0.942002,0.990558,0.999212,0.802539
-6900.37,0.913817,0.382595,3,7,0,6904.89,3817.59,0.965264,0.992773,0.966876,0.99942,0.999645,0.163818
-6897.63,0.988928,0.382595,3,7,0,6903.58,4154.96,0.952098,0.991783,0.942344,0.982876,0.996756,0.891664
-6900.41,0.857275,0.382595,3,7,0,6904,3993.09,0.969887,0.999685,0.952085,0.999175,0.999715,0.0969399
-6899.79,0.576435,0.382595,2,7,0,6908.96,3908.84,0.9747,0.998816,0.950609,0.998991,0.999431,0.0495071
-6898.46,1,0.382595,3,15,0,6901.87,4102.61,0.95065,0.988061,0.942629,0.992684,0.987091,0.985201
-6895.79,0.988959,0.382595,3,7,0,6899.61,3976.26,0.964368,0.994171,0.945639,0.996649,0.999468,0.78031
-6895.55,0.928983,0.382595,3,7,0,6897.93,3957.32,0.94586,0.992582,0.951321,0.996833,0.999212,0.609605
-6897.2,0.972976,0.382595,3,15,0,6899.25,3991.67,0.970784,0.993117,0.938469,0.999888,0.994171,0.463937
-6896.98,0.966701,0.382595,3,15,0,6900.13,4215.83,0.947044,0.989226,0.948653,0.998627,0.996759,0.808031
-6898.05,0.946035,0.382595,4,15,0,6901.11,4160.66,0.973464,0.989565,0.940792,0.998215,0.996745,0.973211
-6896.66,0.879875,0.382595,3,7,0,6902.2,3931.84,0.94933,0.998612,0.948142,0.989058,0.996798,0.250824
-6895.5,0.986454,0.382595,3,7,0,6898.1,3891.45,0.96921,0.996635,0.951426,0.997286,0.995736,0.594829
-6896.24,0.975711,0.382595,3,7,0,6897.37,3954.66,0.954736,0.984539,0.952613,0.998086,0.99845,0.886865
-6897.09,0.723805,0.382595,3,7,0,6901.36,4048.67,0.969558,0.998269,0.962739,0.996406,0.999225,0.810332
-6898.86,0.977284,0.382595,3,7,0,6900.75,4220.56,0.940646,0.979292,0.926627,0.995186,0.991147,0.13193
-6899.8,0.916886,0.382595,3,7,0,6903.39,3899.75,0.974619,0.997855,0.966978,0.994893,0.999285,0.0365307
-6897.21,0.995646,0.382595,4,15,0,6902.03,4046.49,0.949626,0.996953,0.956345,0.99062,0.996716,0.0367985
-6896.22,0.999334,0.382595,3,7,0,6898.64,4067.85,0.97098,0.98998,0.928748,0.997895,0.99706,0.882661
-6894.85,1,0.382595,3,7,0,6896.52,4033.12,0.965085,0.986237,0.942266,0.99706,0.994597,0.800513
-6897.35,0.851888,0.382595,4,15,0,6899.69,4093.95,0.971414,0.998083,0.960131,0.995599,0.998152,0.928019
-6896.59,0.989375,0.382595,3,7,0,6901.4,4046.04,0.940816,0.984864,0.944624,0.998309,0.996958,0.083192
-6897.6,0.923146,0.382595,3,7,0,6901.32,4138.17,0.974867,0.99756,0.972325,0.996837,0.998069,0.619353
-6898.7,0.892347,0.382595,3,7,0,6902.49,4048.77,0.948049,0.99561,0.957671,0.992483,0.999939,0.188598
-6899.38,0.976058,0.382595,3,7,0,6901.15,4038.65,0.975271,0.99517,0.965796,0.998235,0.975978,0.534801
-6895.52,0.995409,0.382595,3,7,0,6901.55,4086.67,0.979066,0.995671,0.93719,0.995369,0.996533,0.454381
-6896.87,0.936258,0.382595,3,7,0,6897.74,3971.99,0.926669,0.994825,0.948244,0.997062,0.996406,0.776803
-6897.88,1,0.382595,3,7,0,6898.89,4102.4,0.986038,0.9983,0.94078,0.992688,0.994665,0.147164
-6897.21,0.878768,0.382595,3,15,0,6900.37,3974.54,0.97353,0.994788,0.953002,0.999648,0.997862,0.854151
-6896.02,0.973644,0.382595,3,7,0,6900.45,4132.86,0.976368,0.994089,0.942172,0.998258,0.993716,0.752937
-6895.08,0.990101,0.382595,3,7,0,6899.45,4019.61,0.956416,0.996961,0.953832,0.995031,0.997894,0.216104
-6897.49,0.959066,0.382595,3,7,0,6898.59,4122.81,0.960738,0.996517,0.96827,0.99603,0.991413,0.935814
-6897.57,0.973229,0.382595,3,15,0,6900.5,4080.76,0.952641,0.998903,0.971138,0.998895,0.99747,0.596611
-6898.96,0.992623,0.382595,4,15,0,6900.43,3997.28,0.964616,0.999043,0.982919,0.998484,0.996903,0.622071
-6896.32,0.99011,0.382595,3,15,0,6899.85,4099.71,0.955558,0.976477,0.932787,0.991536,0.996771,0.341456
-6894.71,1,0.382595,3,7,0,6897.11,3981.37,0.962715,0.997154,0.947464,0.99669,0.992988,0.606039
-6895.94,0.880339,0.382595,3,7,0,6900.88,4087.63,0.961063,0.996349,0.969677,0.993126,0.997616,0.554859
-6897.24,0.933677,0.382595,3,15,0,6898.95,4196.73,0.968863,0.981507,0.934125,0.998986,0.993549,0.408244
-6897.44,0.985108,0.382595,3,7,0,6900.28,4172.88,0.956461,0.996468,0.941843,0.999748,0.997194,0.52061
-6901.24,0.936984,0.382595,3,7,0,6903.48,4183.61,0.965208,0.984924,0.913071,0.999937,0.991645,0.346147
-6901.36,0.99405,0.382595,3,7,0,6903.19,3869.67,0.958905,0.997792,0.977521,0.999939,0.99733,0.630435
-6897.36,0.967454,0.382595,4,15,0,6904.15,3844.49,0.967437,0.982244,0.954096,0.998912,0.993273,0.539653
-6898.02,0.997407,0.382595,3,7,0,6903.02,4129.57,0.944384,0.99465,0.958365,0.978886,0.996288,0.501996
-6898.03,0.983943,0.382595,3,7,0,6900.66,3870.14,0.978039,0.989195,0.942871,0.999723,0.997547,0.446534
-6898.04,0.980335,0.382595,3,7,0,6899.38,3881.31,0.976979,0.993736,0.943551,0.999734,0.997374,0.776421
-6896.61,0.967811,0.382595,3,15,0,6901.15,4122.09,0.940486,0.989243,0.953861,0.995193,0.998878,0.145773
-6898.67,0.990212,0.382595,3,7,0,6899.82,4105.25,0.973378,0.991482,0.958417,0.986782,0.991103,0.0280612
-6895.32,0.997919,0.382595,3,7,0,6899.5,4033.62,0.951993,0.991734,0.963778,0.997846,0.995609,0.20507
-6894.92,0.996797,0.382595,3,7,0,6895.94,3998.05,0.960905,0.988704,0.961919,0.997832,0.994406,0.655014
-6895.51,0.933759,0.382595,3,7,0,6896.65,3999.65,0.972653,0.991913,0.964161,0.99333,0.997946,0.592904
-6895.11,0.994853,0.382595,3,7,0,6896.09,3961.99,0.962455,0.994859,0.930905,0.997225,0.99246,0.385568
-6898.01,0.875736,0.382595,3,7,0,6899.28,3983.1,0.954515,0.999594,0.957717,0.99934,0.998742,0.492204
-6896.45,0.956744,0.382595,3,7,0,6899.5,4064.5,0.963269,0.997001,0.92198,0.99663,0.989088,0.352223
-6895.73,0.927936,0.382595,3,7,0,6898.52,3975.96,0.954248,0.985256,0.944844,0.992755,0.999203,0.710525
-6898.94,0.953832,0.382595,3,7,0,6900.36,3997.51,0.962786,0.996865,0.950487,0.998466,0.999971,0.343171
-6895.76,0.994576,0.382595,3,7,0,6900.2,3919.54,0.948327,0.985947,0.942572,0.993082,0.998295,0.700401
-6896.26,0.992961,0.382595,3,7,0,6897.68,3918.24,0.969376,0.99428,0.953527,0.996927,0.999426,0.708709
-6899.2,0.953128,0.382595,3,7,0,6900.53,3837.15,0.977898,0.996848,0.959833,0.98535,0.997862,0.468714
-6899.84,0.951859,0.382595,4,15,0,6902.07,4186.56,0.987015,0.985873,0.936824,0.999806,0.997213,0.509124
-6899.57,0.929682,0.382595,4,15,0,6901.46,4141.19,0.987135,0.988359,0.930903,0.999843,0.995118,0.420471
-6899.38,0.787881,0.382595,3,7,0,6904.14,3860.59,0.954414,0.996633,0.96546,0.999598,0.99963,0.583388
-6901.82,0.873294,0.382595,3,7,0,6904.21,3817.74,0.933306,0.992679,0.969488,0.999561,0.999652,0.499928
