# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2024-11-24 05:19:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_210.json
# init = 2 (Default)
# random
#   seed = 1673922601 (Default)
# output
#   file = output_model_baseline/output_210.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.400647
# Diagonal elements of inverse mass matrix:
# 0.000680762, 0.00460084, 0.00437351, 1.18673, 0.957491, 0.831837, 3.00327
-7410.74,0.953687,0.400647,4,15,0,7414.2,7896.54,0.659114,0.638462,0.995407,0.998985,0.964238,0.845482
-7409.88,0.9702,0.400647,3,7,0,7413.26,7983.77,0.66694,0.641198,0.970939,0.997849,0.985566,0.101308
-7411.32,0.59507,0.400647,3,7,0,7414.43,7732,0.702592,0.651253,0.999371,0.979948,0.988873,0.809551
-7413.1,0.908839,0.400647,3,7,0,7415.6,7761.91,0.689432,0.654613,0.999738,0.996983,0.983428,0.98691
-7412.27,0.753412,0.400647,3,15,0,7417.4,7698.4,0.658387,0.659837,0.995885,0.988534,0.998196,0.0467019
-7409.45,0.970404,0.400647,3,7,0,7414.95,7993.26,0.696567,0.673615,0.976813,0.996302,0.9808,0.956615
-7408.32,0.999876,0.400647,3,7,0,7411.09,7822.51,0.671773,0.656542,0.990208,0.99821,0.971254,0.0656602
-7409.16,0.997928,0.400647,3,7,0,7410.54,7924.19,0.683147,0.643534,0.98228,0.999439,0.977318,0.864393
-7410.9,0.884318,0.400647,3,15,0,7412.76,7935.8,0.700509,0.676007,0.986708,0.999212,0.994445,0.203284
-7409.3,0.901531,0.400647,3,7,0,7414.04,7987.44,0.684485,0.679951,0.970725,0.999068,0.96829,0.316918
-7410.18,1,0.400647,4,15,0,7411.6,7710.02,0.677206,0.691747,0.989809,0.999367,0.982409,0.406205
-7413.48,0.9461,0.400647,3,7,0,7415.44,8114.2,0.671474,0.686018,0.977273,0.999781,0.988428,0.935372
-7413.09,0.980183,0.400647,3,15,0,7416.22,7494.04,0.696281,0.631208,0.994417,0.974573,0.987246,0.0769534
-7413.09,0.407479,0.400647,3,7,0,7416.35,7494.04,0.696281,0.631208,0.994417,0.974573,0.987246,0.0769534
-7410.15,1,0.400647,3,7,0,7414.44,8146.59,0.66626,0.667249,0.978848,0.998744,0.964945,0.902046
-7411.87,0.87178,0.400647,3,7,0,7415.75,7778.69,0.691019,0.663374,0.994024,0.99821,0.984698,0.996378
-7412.34,0.99563,0.400647,3,7,0,7413.91,7676.01,0.691502,0.662403,0.997488,0.999247,0.977016,0.989951
-7412.38,0.943047,0.400647,4,15,0,7416.26,7649.51,0.679739,0.660113,0.996598,0.998835,0.957889,0.991193
-7413.5,0.758887,0.400647,4,15,0,7415.5,7981.68,0.681412,0.659403,0.990001,0.999399,0.995276,0.00658405
-7417.65,0.703148,0.400647,3,11,0,7419.1,7714.75,0.677686,0.661864,0.981814,0.964356,0.999735,0.995326
-7414.36,0.953324,0.400647,2,3,0,7419.5,7785.92,0.677437,0.656914,0.974487,0.986424,0.999728,0.991341
-7415.59,0.655337,0.400647,4,15,0,7419.95,7842.05,0.683373,0.663401,0.998977,0.993806,0.998719,0.00304538
-7412.36,0.999418,0.400647,3,7,0,7417.16,7765.4,0.690014,0.653371,0.992811,0.986274,0.99821,0.0111695
-7408.56,0.8231,0.400647,3,15,0,7414.22,7627.47,0.691871,0.651296,0.972781,0.990802,0.954828,0.797852
-7409.36,0.654029,0.400647,3,7,0,7415.58,7593.05,0.673782,0.632862,0.991703,0.982498,0.988,0.284572
-7408.74,0.914638,0.400647,3,7,0,7413.5,7819.05,0.685632,0.665454,0.978524,0.998021,0.995332,0.728801
-7406.69,0.924138,0.400647,2,7,0,7410.62,7958.69,0.670263,0.662653,0.984421,0.988324,0.982278,0.216793
-7407.53,0.980285,0.400647,4,15,0,7408.37,7837.24,0.668768,0.647504,0.984969,0.993464,0.965793,0.0962772
-7411.85,0.891372,0.400647,3,7,0,7413.36,7556.04,0.703223,0.651696,0.996987,0.99371,0.986171,0.979768
-7408.72,1,0.400647,3,7,0,7414.54,7664.95,0.701729,0.667089,0.967734,0.983486,0.963483,0.418554
-7407.4,0.908644,0.400647,2,3,0,7409.89,7729.27,0.699605,0.663605,0.993388,0.98685,0.978871,0.223569
-7410.39,0.862286,0.400647,3,7,0,7412.45,7873.59,0.696111,0.668405,0.997851,0.982241,0.996112,0.260253
-7407.45,0.722666,0.400647,3,7,0,7415.27,7588.31,0.697263,0.664477,0.991415,0.990773,0.964785,0.386071
-7410.81,0.617095,0.400647,3,7,0,7413.19,7785.12,0.692926,0.659552,0.949365,0.994083,0.988989,0.249911
-7406.61,1,0.400647,2,3,0,7410.14,7864.43,0.684625,0.660128,0.990067,0.991267,0.986398,0.224166
-7408,0.977611,0.400647,3,7,0,7408.43,7797.62,0.693625,0.675164,0.97258,0.99226,0.956199,0.351499
-7408.54,0.915186,0.400647,3,7,0,7410.11,7805.05,0.688342,0.637138,0.993657,0.994527,0.991949,0.6129
-7406.72,0.975591,0.400647,3,7,0,7409.39,8003.07,0.690793,0.653659,0.984909,0.995367,0.980844,0.483679
-7406.36,0.969828,0.400647,3,15,0,7408.84,7582.51,0.677026,0.663933,0.986774,0.992348,0.972494,0.489731
-7409.63,0.848845,0.400647,3,7,0,7411.33,7993.32,0.683226,0.672274,0.994305,0.999167,0.979212,0.893559
-7408.63,0.987918,0.400647,3,7,0,7412.05,7608.04,0.673493,0.640333,0.976127,0.992915,0.965547,0.106494
-7407.99,0.78658,0.400647,2,3,0,7410.47,7555.29,0.676637,0.639039,0.984216,0.99366,0.968313,0.226187
-7408.69,0.808469,0.400647,3,7,0,7413.49,7721.07,0.703726,0.669053,0.987476,0.991454,0.981083,0.942191
-7408.38,0.993596,0.400647,4,15,0,7410.47,7897.27,0.662647,0.650261,0.980949,0.988484,0.982679,0.054519
-7409.14,0.885122,0.400647,3,7,0,7413.79,7617.15,0.678857,0.627483,0.985325,0.996602,0.967533,0.705191
-7407.88,0.992049,0.400647,3,15,0,7410.77,7834.45,0.664608,0.643927,0.982506,0.998562,0.97693,0.592046
-7410.07,0.890648,0.400647,3,7,0,7412.12,7780.19,0.714075,0.666204,0.994046,0.990786,0.971995,0.939233
-7411.33,0.936398,0.400647,3,7,0,7414.65,7626.25,0.711152,0.661035,0.996981,0.988928,0.965299,0.95871
-7408.25,0.881718,0.400647,3,7,0,7413.98,7737.77,0.70026,0.646992,0.990548,0.995521,0.967046,0.877116
-7411.83,0.885358,0.400647,4,15,0,7416.56,8167.51,0.688146,0.640034,0.988648,0.999434,0.976114,0.0506431
-7408.25,0.998588,0.400647,3,7,0,7413.61,7589.59,0.696682,0.649511,0.987835,0.995468,0.972814,0.89186
-7408.07,0.971774,0.400647,3,15,0,7409.94,8029.89,0.669725,0.646626,0.981397,0.982499,0.98549,0.17018
-7408.61,0.975507,0.400647,3,7,0,7409.64,7738.22,0.696025,0.673907,0.994616,0.99604,0.960628,0.826369
-7409.07,0.739616,0.400647,3,15,0,7411.52,7540.13,0.687789,0.655855,0.988011,0.99689,0.993757,0.801759
-7407.04,0.991886,0.400647,3,7,0,7412.22,7900.5,0.67434,0.66451,0.987633,0.981712,0.989198,0.611899
-7405.95,0.944453,0.400647,3,7,0,7409.01,7893.5,0.676783,0.658569,0.981185,0.988082,0.98191,0.529778
-7407.83,0.928517,0.400647,3,7,0,7408.67,7701.5,0.692871,0.636765,0.993753,0.99429,0.977435,0.41375
-7407.23,0.893303,0.400647,3,7,0,7413.12,7717.49,0.692505,0.645055,0.980652,0.99692,0.982252,0.57035
-7408.14,0.98007,0.400647,3,7,0,7409.7,7749.91,0.670541,0.634118,0.987601,0.978046,0.972258,0.450513
-7407.96,0.94375,0.400647,3,7,0,7409.86,7902.81,0.673268,0.676909,0.982277,0.998946,0.978387,0.578933
-7411.36,0.882439,0.400647,3,7,0,7412.24,8093.98,0.684623,0.686419,0.993314,0.998676,0.971623,0.0527608
-7409.49,1,0.400647,4,15,0,7413.37,7733.82,0.678063,0.663483,0.994053,0.99496,0.976014,0.988675
-7409.54,0.971838,0.400647,4,15,0,7413.72,7942.52,0.696125,0.656792,0.995497,0.985385,0.995634,0.198538
-7407.68,0.983594,0.400647,3,7,0,7411.66,7711.3,0.674002,0.654766,0.976499,0.995834,0.992008,0.301975
-7407.31,0.917254,0.400647,3,7,0,7410.6,8023.02,0.682205,0.661699,0.994518,0.985255,0.965646,0.719169
-7406.55,0.883749,0.400647,3,7,0,7410.63,7894.24,0.678012,0.66939,0.984701,0.989626,0.987456,0.676259
-7408.35,0.856533,0.400647,3,7,0,7410.3,7853.82,0.667275,0.652848,0.991671,0.986159,0.994652,0.244528
-7407.23,0.99862,0.400647,3,7,0,7410.95,7779.9,0.691557,0.647474,0.987066,0.993062,0.980212,0.886061
-7408.18,0.967072,0.400647,3,7,0,7409.97,7877.8,0.694729,0.642987,0.991081,0.990648,0.974125,0.929515
-7408.57,0.979751,0.400647,4,15,0,7411.02,7943.65,0.662187,0.681976,0.990738,0.993678,0.974556,0.13346
-7407.21,0.99886,0.400647,3,7,0,7410.14,7864.2,0.699139,0.673319,0.975044,0.986898,0.976061,0.372729
-7409.9,0.885791,0.400647,3,7,0,7412.75,8236.91,0.695399,0.657793,0.97896,0.974688,0.966136,0.189284
-7411.17,0.993744,0.400647,4,15,0,7413.23,8151.63,0.710732,0.63166,0.979925,0.991953,0.98527,0.207749
-7408.77,0.998482,0.400647,4,15,0,7413.53,7975.89,0.658497,0.68501,0.978916,0.986498,0.985016,0.447478
-7411.63,0.957247,0.400647,3,15,0,7412.16,7648.25,0.704037,0.634061,0.989504,0.993693,0.998164,0.552772
-7411.89,0.936808,0.400647,3,7,0,7419.45,7753.13,0.680468,0.619192,0.979052,0.990045,0.997299,0.2911
-7411.71,0.973463,0.400647,4,15,0,7413.58,7727.94,0.677446,0.618186,0.98989,0.993051,0.996075,0.312998
