# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2024-11-24 05:19:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_279.json
# init = 2 (Default)
# random
#   seed = 1673937252 (Default)
# output
#   file = output_model_baseline/output_279.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.503213
# Diagonal elements of inverse mass matrix:
# 0.000647772, 1.52161, 1.28456, 0.033408, 0.0169589, 1.19177, 3.17284
-7527.44,0.968154,0.503213,3,7,0,7529.34,8882.63,0.994701,0.99905,0.877577,0.817155,0.991975,0.69316
-7532.43,0.805754,0.503213,3,7,0,7533.18,8695.7,0.998914,0.999122,0.906348,0.850005,0.995552,0.151908
-7527.71,0.955794,0.503213,3,7,0,7533.35,9034,0.985151,0.978568,0.885878,0.819088,0.996247,0.611225
-7528.93,0.622487,0.503213,3,7,0,7532.07,8826.58,0.99859,0.996128,0.861496,0.83972,0.996424,0.24514
-7528.87,0.995097,0.503213,3,7,0,7534,8844.93,0.995126,0.999109,0.907531,0.807158,0.997911,0.557466
-7526.17,0.879012,0.503213,3,7,0,7531.43,9158.17,0.995846,0.989841,0.88906,0.829384,0.990077,0.44853
-7526.62,0.909048,0.503213,3,7,0,7529.33,9025.45,0.995717,0.992612,0.900899,0.808099,0.997422,0.686099
-7530.83,0.861488,0.503213,3,7,0,7531.74,9614.46,0.990141,0.993863,0.85967,0.802841,0.998249,0.863407
-7535.39,0.437524,0.503213,3,7,0,7537.23,8581.85,0.999843,0.999805,0.90639,0.827204,0.986153,0.180439
-7531.15,1,0.503213,3,7,0,7537.69,8839.63,0.999949,0.998221,0.896314,0.815195,0.996598,0.234702
-7526.89,0.898468,0.503213,3,7,0,7531.96,9028.4,0.992034,0.998676,0.88127,0.817436,0.995339,0.651214
-7528.78,0.668654,0.503213,3,7,0,7532.33,9105.09,0.999523,0.975103,0.885795,0.813845,0.991317,0.250235
-7527.62,0.861899,0.503213,3,7,0,7533.26,8852.42,0.999406,0.991013,0.892313,0.827904,0.993761,0.458906
