# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2024-11-24 05:21:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_543.json
# init = 2 (Default)
# random
#   seed = 1674042070 (Default)
# output
#   file = output_model_baseline/output_543.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.481392
# Diagonal elements of inverse mass matrix:
# 0.000725127, 0.904474, 0.00588536, 1.68328, 0.0774908, 1.28514, 3.38087
-6949.04,1,0.481392,3,7,0,6951.15,4318.27,0.968625,0.657906,0.998061,0.934374,0.976847,0.737319
-6949.94,0.742347,0.481392,3,7,0,6954.63,4254.13,0.953094,0.67291,0.996638,0.94328,0.989712,0.442635
-6953.07,0.362574,0.481392,3,7,0,6957.39,4107.71,0.994506,0.655952,0.999064,0.939878,0.985159,0.443133
-6950.63,0.70053,0.481392,3,7,0,6957.63,4245.92,0.978747,0.619822,0.97635,0.911783,0.994618,0.184845
-6949.26,0.684392,0.481392,2,7,0,6954.15,4379.68,0.982612,0.656644,0.997827,0.928774,0.995134,0.171035
-6949.19,0.918778,0.481392,2,7,0,6954.59,4397.92,0.971487,0.660232,0.996733,0.942403,0.997371,0.652291
-6950.48,0.882058,0.481392,3,7,0,6952.52,4362.69,0.985503,0.666717,0.998312,0.946417,0.995921,0.724639
-6950.8,0.958113,0.481392,3,7,0,6952.97,4317.04,0.983784,0.634258,0.998753,0.946044,0.991845,0.910005
-6950.19,0.986608,0.481392,3,7,0,6952.63,4282.16,0.983266,0.647006,0.999109,0.938558,0.98865,0.886193
-6952.06,0.921378,0.481392,3,7,0,6953.92,4360.7,0.985072,0.611452,0.99851,0.951563,0.986154,0.313022
-6952.27,0.971169,0.481392,3,7,0,6958.12,4337.21,0.955035,0.687082,0.971312,0.910001,0.994076,0.783412
-6953.25,0.668887,0.481392,3,7,0,6956.37,4419.56,0.989165,0.681607,0.99556,0.927444,0.997201,0.972662
-6951.12,1,0.481392,3,7,0,6953.85,4271.51,0.983921,0.617826,0.994739,0.929866,0.986375,0.0412674
-6948.38,1,0.481392,3,7,0,6951.76,4293.4,0.954311,0.639725,0.992293,0.934476,0.994015,0.219237
-6950.65,0.12262,0.481392,2,3,0,6952.61,4353.45,0.934751,0.645635,0.987366,0.939656,0.995904,0.206784
-6949.96,0.697323,0.481392,2,3,0,6953.64,4243.52,0.995522,0.639464,0.989289,0.92958,0.995783,0.718126
-6950.71,0.646633,0.481392,2,3,0,6955.26,4200.76,0.994969,0.651879,0.986267,0.929145,0.977563,0.80881
-6950.39,0.757315,0.481392,2,7,0,6959.38,4335.46,0.998172,0.658202,0.983483,0.92485,0.990395,0.327509
-6952.32,0.839635,0.481392,3,7,0,6953.5,4323.19,0.998752,0.669969,0.996487,0.929027,0.996214,0.698298
-6948.5,0.683641,0.481392,3,7,0,6954.17,4287.43,0.959441,0.623758,0.988845,0.927404,0.991599,0.289559
-6948.5,0.126416,0.481392,2,3,0,6951.96,4287.43,0.959441,0.623758,0.988845,0.927404,0.991599,0.289559
-6949.72,0.90094,0.481392,3,7,0,6952.18,4390.82,0.981064,0.6316,0.993496,0.909287,0.970367,0.331861
-6952.97,0.336871,0.481392,3,7,0,6955.71,4289.73,0.988471,0.671387,0.982253,0.945234,0.999846,0.520033
-6954.38,0.956264,0.481392,3,7,0,6955.3,4323.33,0.991299,0.67289,0.98189,0.949233,0.999908,0.718635
-6949.06,1,0.481392,3,7,0,6954.74,4375.4,0.951748,0.649204,0.994491,0.912927,0.995799,0.232288
-6953.66,0.845958,0.481392,3,7,0,6954.75,4317.84,0.984783,0.639761,0.989151,0.965934,0.980848,0.989591
-6954.06,0.795157,0.481392,3,7,0,6961.61,4352.34,0.973053,0.613731,0.999593,0.931453,0.994733,0.0221187
-6954.82,0.337726,0.481392,2,3,0,6958.8,4377.41,0.977653,0.618351,0.999777,0.938084,0.972702,0.0326623
-6950.98,0.709244,0.481392,3,7,0,6957.32,4401.07,0.972237,0.615547,0.969358,0.944206,0.994928,0.596339
-6953.53,0.483816,0.481392,3,7,0,6957.03,4328.68,0.991135,0.676226,0.999552,0.923135,0.993961,0.0542664
-6954.63,0.975758,0.481392,3,7,0,6958.29,4294.25,0.997689,0.65015,0.999356,0.958579,0.992224,0.904577
-6953.33,0.996237,0.481392,3,7,0,6957.04,4399.42,0.996793,0.647372,0.998444,0.896293,0.988989,0.0966026
-6951.06,0.880124,0.481392,3,7,0,6957.35,4410.94,0.950322,0.638319,0.993951,0.920191,0.998358,0.0624458
-6948.74,1,0.481392,3,7,0,6951.6,4257.57,0.986059,0.647372,0.988704,0.918568,0.993774,0.138874
-6949.58,0.989408,0.481392,3,7,0,6950.14,4425.91,0.956131,0.636831,0.9901,0.936417,0.997945,0.823281
-6949.38,0.925814,0.481392,3,7,0,6951.51,4217.66,0.987953,0.648058,0.989654,0.90843,0.981044,0.294305
-6954.84,0.693776,0.481392,3,7,0,6957.42,4729.21,0.967749,0.646287,0.999148,0.929866,0.994194,0.65847
-6949.85,0.988809,0.481392,3,7,0,6956.48,4410.19,0.980596,0.649381,0.999031,0.942197,0.995097,0.337716
-6949.37,0.697812,0.481392,3,7,0,6954.17,4278.18,0.970417,0.64873,0.999315,0.94168,0.986899,0.521462
-6947.85,0.909287,0.481392,3,7,0,6950.27,4346.97,0.980412,0.632408,0.986637,0.938171,0.992773,0.4502
-6948.76,0.850883,0.481392,3,7,0,6952.7,4193.28,0.97005,0.662996,0.996241,0.919309,0.988285,0.387797
