# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2024-11-24 05:18:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_72.json
# init = 2 (Default)
# random
#   seed = 1673839973 (Default)
# output
#   file = output_model_baseline/output_72.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.459106
# Diagonal elements of inverse mass matrix:
# 0.000622052, 0.0600307, 0.00480471, 0.137191, 0.165146, 0.262124, 2.9437
-7083.83,0.87047,0.459106,3,7,0,7090.84,5312.42,0.942884,0.726266,0.969973,0.953124,0.94314,0.869891
-7084.36,0.934087,0.459106,3,7,0,7087.31,4995.77,0.943693,0.722123,0.946624,0.978623,0.984116,0.275291
-7082.07,0.973869,0.459106,3,7,0,7087.9,5230.46,0.938134,0.728522,0.950343,0.923023,0.968599,0.409278
-7082.59,0.988797,0.459106,3,7,0,7084.12,5082.41,0.940191,0.713431,0.946286,0.977913,0.966162,0.763719
-7086.53,0.755292,0.459106,3,15,0,7089.69,5293.29,0.942438,0.731617,0.949423,0.980021,0.994343,0.17258
-7083.82,0.871446,0.459106,3,7,0,7091.8,5165.69,0.910371,0.747124,0.950667,0.954913,0.968791,0.756395
-7082.91,1,0.459106,3,7,0,7085.75,5027.17,0.959233,0.704119,0.946663,0.950754,0.974497,0.205454
-7083.1,0.989753,0.459106,3,7,0,7085.9,5276.16,0.905837,0.727293,0.957196,0.94998,0.958846,0.567687
-7083.27,0.989486,0.459106,3,7,0,7085.18,5005.25,0.96646,0.727227,0.939826,0.954904,0.973134,0.545293
-7084.35,0.957084,0.459106,3,7,0,7086.42,5051.27,0.961497,0.713572,0.949768,0.934601,0.987735,0.755233
-7084.04,0.941045,0.459106,3,7,0,7087.06,5117.37,0.944961,0.711929,0.9641,0.969298,0.980668,0.94025
-7083.61,1,0.459106,3,7,0,7085.14,5148.84,0.943476,0.716787,0.957857,0.973176,0.980644,0.925104
-7085.9,0.960524,0.459106,3,7,0,7089.54,5069.13,0.968427,0.74302,0.963195,0.960311,0.946692,0.198424
-7084.26,0.891808,0.459106,3,7,0,7090.2,5146.42,0.966023,0.729514,0.958777,0.95289,0.937952,0.40578
-7081.68,1,0.459106,2,3,0,7084.54,5162.83,0.958471,0.734528,0.95227,0.951124,0.966841,0.269195
-7082.28,0.975147,0.459106,3,7,0,7082.79,5161.13,0.917358,0.707017,0.948606,0.961368,0.966936,0.832824
-7082.61,0.96229,0.459106,3,7,0,7085.5,5121.85,0.957322,0.735601,0.962094,0.957032,0.962129,0.167193
-7083.38,0.917807,0.459106,3,7,0,7088.11,5075.06,0.912199,0.731759,0.961377,0.944392,0.980491,0.403723
-7082.99,0.942656,0.459106,3,7,0,7089.49,5258.25,0.946104,0.735935,0.934356,0.955504,0.95659,0.0659319
-7085.96,0.659247,0.459106,3,7,0,7091.2,5053.39,0.940744,0.696683,0.968784,0.981695,0.972715,0.777231
-7085.95,0.970524,0.459106,3,7,0,7089.84,5425.71,0.966425,0.739586,0.953807,0.933612,0.961576,0.136814
-7085.53,0.990236,0.459106,3,7,0,7090.28,5078.43,0.949978,0.74902,0.96515,0.961943,0.969998,0.964742
-7086.65,0.982399,0.459106,3,7,0,7091,5008.94,0.917914,0.740805,0.94593,0.958352,0.938023,0.957651
-7083.89,1,0.459106,3,7,0,7088.71,5158.36,0.949628,0.693131,0.964374,0.95384,0.984244,0.668417
-7084.45,0.965234,0.459106,3,7,0,7087.26,5072.82,0.950601,0.741891,0.94238,0.977139,0.981522,0.49623
-7083.53,0.984021,0.459106,3,7,0,7087.13,5279.28,0.945506,0.718237,0.953894,0.917481,0.966543,0.195943
-7082.04,1,0.459106,3,7,0,7084.2,5288.43,0.949134,0.726466,0.93948,0.969687,0.959385,0.369399
-7084.02,0.956073,0.459106,3,7,0,7085.65,5212.73,0.91133,0.736004,0.957374,0.961788,0.968166,0.919186
-7082.28,1,0.459106,3,7,0,7085.11,5095.45,0.950232,0.697342,0.945119,0.943888,0.958429,0.222793
-7084.38,0.901053,0.459106,3,11,0,7087.38,5099.82,0.969863,0.708103,0.940317,0.931392,0.955974,0.317425
-7089.6,0.948787,0.459106,3,7,0,7090.53,5252.32,0.987353,0.739009,0.969162,0.96806,0.977178,0.673836
-7089.19,0.972239,0.459106,3,7,0,7093.55,5077.68,0.992309,0.717988,0.944547,0.95506,0.957286,0.15362
-7089.11,0.99089,0.459106,3,7,0,7090.27,5214.58,0.993061,0.719119,0.956052,0.957654,0.975564,0.224562
-7089.75,0.8811,0.459106,3,11,0,7095.31,5134.57,0.992746,0.713231,0.956615,0.941937,0.984438,0.550818
-7091.36,0.899224,0.459106,3,11,0,7095.5,5142.35,0.984828,0.719627,0.96655,0.956423,0.996152,0.918284
-7091,0.949562,0.459106,3,7,0,7097.46,5181.74,0.984678,0.720618,0.932946,0.942305,0.933128,0.971236
-7091.14,0.985903,0.459106,3,15,0,7096.12,5397.54,0.968604,0.73028,0.974405,0.957797,0.989546,0.00696426
-7084.4,0.990455,0.459106,3,7,0,7094.28,5060.62,0.93956,0.713074,0.940256,0.933112,0.973663,0.0137032
-7084.61,0.89649,0.459106,3,7,0,7089.03,4938.85,0.935225,0.727075,0.969959,0.950197,0.954936,0.0595806
-7083.8,1,0.459106,3,7,0,7087,5225.63,0.958098,0.728081,0.975925,0.953155,0.973366,0.80659
-7081.89,0.98037,0.459106,3,7,0,7087.04,5052.2,0.94066,0.710417,0.936941,0.953768,0.978563,0.191329
-7081.54,0.947322,0.459106,3,7,0,7085.31,5111.13,0.9523,0.711583,0.93338,0.952054,0.971353,0.291881
-7082.02,0.977932,0.459106,3,7,0,7083.13,5116.62,0.953519,0.714451,0.934592,0.935294,0.972564,0.299252
-7081.7,0.897583,0.459106,3,7,0,7083.91,5236.93,0.93848,0.722549,0.946676,0.971455,0.951626,0.453453
-7084.74,0.720371,0.459106,2,3,0,7086.37,5354.98,0.937482,0.718536,0.926652,0.973273,0.941327,0.636387
-7084.23,1,0.459106,3,7,0,7086.79,4988.43,0.945011,0.724481,0.966326,0.928902,0.984615,0.548318
-7083.6,0.998804,0.459106,3,7,0,7087.17,4990.99,0.942815,0.732813,0.926839,0.968447,0.957762,0.692024
-7086.06,0.785867,0.459106,3,7,0,7090.18,5297.45,0.938443,0.700478,0.97481,0.936848,0.9921,0.312296
-7083.88,0.987685,0.459106,3,7,0,7088.05,5171.45,0.937509,0.739024,0.944879,0.966135,0.991585,0.292057
-7083.97,0.931077,0.459106,3,7,0,7088.88,5068.55,0.954277,0.698652,0.942286,0.958382,0.973584,0.943833
-7082.36,0.983893,0.459106,3,7,0,7086.16,5322.58,0.956013,0.730973,0.947661,0.933478,0.9671,0.438917
-7083.02,0.915739,0.459106,3,7,0,7085.5,5082.51,0.923248,0.713057,0.971985,0.967097,0.962919,0.593758
-7082.71,0.997524,0.459106,3,7,0,7084.57,5194.02,0.921983,0.707005,0.970619,0.95578,0.96344,0.219852
-7081.56,0.97918,0.459106,3,7,0,7085.06,5331.81,0.94325,0.716575,0.96131,0.943287,0.972503,0.525319
-7081.41,0.981292,0.459106,3,7,0,7083.8,5011.85,0.934345,0.716265,0.957306,0.964363,0.960886,0.511294
-7081.47,0.975906,0.459106,3,7,0,7083.23,5230.17,0.94877,0.724867,0.960814,0.93731,0.973139,0.350372
-7085.7,0.684208,0.459106,3,7,0,7089.27,5137.49,0.930948,0.717859,0.931488,0.989969,0.972442,0.762559
-7085.28,0.96317,0.459106,3,15,0,7088.43,5353.72,0.955678,0.733427,0.952772,0.983285,0.97383,0.669812
-7086.69,0.958518,0.459106,3,7,0,7089.03,5194.52,0.954285,0.742435,0.935707,0.977422,0.939781,0.091285
-7080.66,0.9759,0.459106,3,7,0,7088.27,5228.68,0.931828,0.725413,0.941653,0.953179,0.975348,0.548293
-7083.13,0.897838,0.459106,3,7,0,7083.8,5161.14,0.960859,0.717755,0.96602,0.961094,0.980663,0.345536
-7081.96,0.99938,0.459106,3,7,0,7084.1,5055.6,0.936979,0.720055,0.927016,0.937136,0.959355,0.434156
-7082.36,0.883536,0.459106,3,7,0,7084.9,5140.16,0.930495,0.711224,0.931929,0.952471,0.944648,0.228842
-7082.56,0.985082,0.459106,3,7,0,7085.44,5300.96,0.932778,0.733531,0.958398,0.947056,0.982009,0.187423
-7085.41,0.97167,0.459106,3,7,0,7086.68,4965.42,0.955941,0.704817,0.968534,0.957546,0.940748,0.599021
-7087.87,1,0.459106,3,7,0,7090.75,5444.82,0.964483,0.702521,0.976192,0.962296,0.985201,0.478999
-7089.88,0.959393,0.459106,3,15,0,7093.53,5544.48,0.957774,0.698974,0.974469,0.967753,0.989391,0.648249
-7083.55,0.967632,0.459106,3,7,0,7093.37,4986.75,0.928702,0.699333,0.951864,0.94127,0.982586,0.288173
-7084.93,0.929096,0.459106,3,7,0,7087.96,4867.25,0.932649,0.714917,0.946194,0.948873,0.989888,0.602508
-7083.41,0.959259,0.459106,3,7,0,7088.4,5381.23,0.937964,0.745888,0.950853,0.958829,0.973718,0.758052
-7080.47,0.985881,0.459106,3,7,0,7085.12,5101.73,0.94454,0.719322,0.946295,0.946413,0.965478,0.239799
-7081.06,0.828397,0.459106,2,7,0,7084.54,5179.89,0.9448,0.722291,0.940644,0.932195,0.96473,0.631006
-7084.41,0.898417,0.459106,3,7,0,7086.47,5060.5,0.912729,0.702906,0.952355,0.964655,0.962505,0.92332
-7084.26,0.953986,0.459106,3,7,0,7089.82,5339.4,0.937314,0.740861,0.938356,0.951014,0.964965,0.0259416
-7082.44,0.98611,0.459106,3,7,0,7086.99,5167.53,0.914301,0.710401,0.949739,0.968667,0.960217,0.480997
-7083.8,0.749294,0.459106,3,7,0,7090.48,5364.65,0.944591,0.744567,0.949079,0.95944,0.968174,0.908193
-7081.06,1,0.459106,3,7,0,7084.93,5187.2,0.936469,0.734072,0.942211,0.941241,0.957278,0.266675
-7083.9,0.763948,0.459106,3,7,0,7085.46,5167.01,0.941978,0.703796,0.953475,0.982419,0.971995,0.767994
-7084.58,0.961544,0.459106,3,7,0,7087.07,5173.92,0.936146,0.729331,0.948906,0.92019,0.989986,0.260955
-7083.58,0.980008,0.459106,3,15,0,7088.26,5329.78,0.947584,0.716078,0.942935,0.947908,0.987678,0.889916
-7084.81,0.900324,0.459106,3,15,0,7089.38,5115.13,0.92352,0.716982,0.958612,0.970371,0.993093,0.752586
-7083.36,0.996166,0.459106,3,7,0,7085.74,5217.7,0.951879,0.730494,0.94425,0.928358,0.98449,0.238408
-7082.1,0.89158,0.459106,3,7,0,7089.51,5218.46,0.954757,0.741655,0.939255,0.949899,0.97277,0.432942
-7082.66,0.947276,0.459106,3,7,0,7084.32,5193.83,0.935511,0.69582,0.968943,0.954,0.971748,0.610648
-7083.89,0.952431,0.459106,3,7,0,7085.84,5223.94,0.964635,0.7381,0.926413,0.944398,0.956594,0.419678
-7082.15,1,0.459106,3,7,0,7085.85,5114.68,0.944935,0.703408,0.968962,0.955886,0.972379,0.392238
-7080.71,0.973359,0.459106,3,7,0,7084.3,5210.71,0.932757,0.731583,0.95597,0.94243,0.962851,0.62008
-7081.08,0.961782,0.459106,3,7,0,7082.45,5170.94,0.94146,0.706592,0.949013,0.960099,0.976909,0.410919
-7083.36,0.960049,0.459106,3,7,0,7084.26,5245.37,0.955006,0.72998,0.940221,0.962688,0.988018,0.312094
-7081.58,0.908787,0.459106,3,15,0,7086.38,5097.59,0.959293,0.71633,0.937738,0.944642,0.961892,0.473659
-7082.15,0.932894,0.459106,3,7,0,7084.84,5361.28,0.923264,0.730801,0.958075,0.953815,0.970539,0.532923
-7081.62,0.947389,0.459106,3,7,0,7085.88,5283.25,0.940377,0.712715,0.932524,0.953136,0.956116,0.763213
-7081.3,0.986292,0.459106,3,7,0,7083.41,5147.8,0.946219,0.726453,0.962431,0.948529,0.975937,0.748192
-7082.03,0.964379,0.459106,3,7,0,7084.2,5183.3,0.929548,0.715482,0.936615,0.951886,0.985867,0.287137
-7082.53,0.920239,0.459106,3,7,0,7085.31,5078.89,0.951614,0.722517,0.969824,0.949154,0.951943,0.755405
-7087.05,0.845586,0.459106,3,7,0,7088.07,5302.17,0.917092,0.704304,0.979563,0.948978,0.984446,0.0690126
-7093.31,0.985501,0.459106,3,15,0,7097.86,5114.68,0.949477,0.727006,0.912329,0.957291,0.967695,0.999982
-7085.66,1,0.459106,3,7,0,7095.42,5288.65,0.928157,0.706787,0.983526,0.960405,0.961625,0.0882666
-7085.14,0.93876,0.459106,4,15,0,7089.39,5206.36,0.955989,0.725735,0.910143,0.963456,0.952535,0.559528
-7084.49,1,0.459106,3,7,0,7090.33,5067.85,0.932534,0.701512,0.963636,0.920441,0.977819,0.424338
