# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2024-11-24 05:24:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_848.json
# init = 2 (Default)
# random
#   seed = 1674216793 (Default)
# output
#   file = output_model_baseline/output_848.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.423417
# Diagonal elements of inverse mass matrix:
# 0.000680991, 0.00821752, 1.70117, 0.0190848, 1.77569, 1.61975, 2.98527
-7601.62,0.90263,0.423417,3,7,0,7604.03,10132,0.688843,0.994332,0.797702,0.99702,0.983946,0.651477
-7600.69,0.709844,0.423417,3,7,0,7605.81,10309.8,0.703177,0.997674,0.827076,0.99339,0.987797,0.294424
-7603.47,0.793805,0.423417,3,7,0,7605.3,10491.8,0.716458,0.973575,0.829891,0.992484,0.997478,0.230132
-7604.1,0.984603,0.423417,3,7,0,7607.99,9525.72,0.663705,0.998929,0.842571,0.996904,0.999573,0.709353
-7602.56,0.921764,0.423417,3,7,0,7611.84,10220.5,0.688674,0.982213,0.798548,0.998669,0.991324,0.185999
-7600.51,0.984838,0.423417,3,7,0,7604.87,9797.99,0.706766,0.996113,0.837957,0.987415,0.991581,0.865532
-7599.53,0.974754,0.423417,3,7,0,7601.6,9807.18,0.692954,0.996651,0.84197,0.998283,0.991331,0.604425
-7602.63,0.913294,0.423417,3,7,0,7603.18,10190.5,0.720742,0.998966,0.820435,0.989767,0.998295,0.25231
-7602.57,0.985109,0.423417,3,7,0,7605.47,10171.5,0.6851,0.978377,0.87033,0.995827,0.980335,0.54286
-7602.39,1,0.423417,4,15,0,7606.37,9587.54,0.699928,0.998776,0.832701,0.993264,0.999375,0.219997
-7603.59,0.895957,0.423417,3,7,0,7606.69,9924.2,0.698517,0.996449,0.820994,0.999776,0.999552,0.180733
-7599.19,0.945274,0.423417,3,7,0,7607.72,10074.2,0.684447,0.99278,0.84924,0.992966,0.996673,0.27145
-7600.06,0.943275,0.423417,3,7,0,7601.29,10055.7,0.708349,0.995084,0.837122,0.990545,0.99332,0.885497
-7603.18,0.860044,0.423417,3,7,0,7604.95,9954.89,0.687882,0.997358,0.796153,0.996753,0.999685,0.412548
-7601.83,1,0.423417,3,7,0,7605.15,9978.13,0.704331,0.999192,0.846013,0.995294,0.999333,0.728483
-7602.93,0.979854,0.423417,2,7,0,7605.41,9939.89,0.682896,0.999906,0.836217,0.998671,0.989988,0.346917
-7602.6,0.959711,0.423417,3,7,0,7605.45,9871.17,0.698358,0.999917,0.835841,0.997256,0.99001,0.366264
-7602.69,0.931358,0.423417,3,7,0,7606.44,10249.2,0.673181,0.998719,0.870396,0.994194,0.996402,0.82919
-7605.63,0.889355,0.423417,3,7,0,7608.43,10476.7,0.699883,0.999389,0.879514,0.998952,0.994966,0.468704
-7602.21,1,0.423417,2,7,0,7606.78,10332.6,0.708169,0.99853,0.854994,0.998862,0.993215,0.588424
-7601.91,0.982795,0.423417,3,7,0,7604.26,9618.85,0.672209,0.978952,0.82302,0.997575,0.997967,0.325086
-7602.24,1,0.423417,3,7,0,7604.48,10054.1,0.71914,0.998572,0.868981,0.995488,0.991308,0.690441
-7600.13,0.98541,0.423417,3,7,0,7603.78,10099.3,0.699765,0.998608,0.848393,0.994594,0.996421,0.310485
-7599.91,1,0.423417,3,7,0,7601.92,9887.69,0.674816,0.997132,0.82679,0.997985,0.990627,0.688131
-7600.74,0.946473,0.423417,3,7,0,7602.51,10027.9,0.668553,0.981568,0.837788,0.991208,0.995909,0.119085
