# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2024-11-24 05:24:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_898.json
# init = 2 (Default)
# random
#   seed = 1674223833 (Default)
# output
#   file = output_model_baseline/output_898.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.376394
# Diagonal elements of inverse mass matrix:
# 0.000714841, 1.83265, 1.14322, 0.00929664, 1.17846, 0.219506, 3.45341
-7294.42,0.900762,0.376394,3,7,0,7297.44,7006.83,0.981464,0.995317,0.65009,0.992699,0.951042,0.753071
-7292.25,0.922974,0.376394,3,7,0,7296.71,6737.05,0.991896,0.990025,0.679713,0.97686,0.953589,0.40862
-7293.14,0.983953,0.376394,3,7,0,7293.8,6729.73,0.996087,0.994588,0.667102,0.991436,0.90873,0.898277
-7294.65,0.895268,0.376394,3,7,0,7295.97,6661.79,0.989383,0.986866,0.668117,0.986629,0.962489,0.949599
-7294.46,0.991926,0.376394,3,15,0,7296.97,6750.44,0.985491,0.99009,0.677526,0.990134,0.959218,0.964929
-7294.4,0.99001,0.376394,3,15,0,7296.35,6709.93,0.997007,0.998173,0.675608,0.992502,0.952283,0.0412087
-7294.56,0.999225,0.376394,4,15,0,7296.32,6735.55,0.994836,0.99052,0.686475,0.996324,0.946378,0.971727
-7297.43,0.94696,0.376394,3,15,0,7301.16,6734.96,0.986655,0.996707,0.667452,0.996802,0.957304,0.00269268
-7292.88,0.980616,0.376394,3,15,0,7299.86,6824.62,0.992857,0.989855,0.64629,0.983766,0.927471,0.788406
-7291.74,0.952351,0.376394,3,7,0,7295.28,6730.74,0.991588,0.99548,0.694041,0.99333,0.938381,0.596432
-7292.46,0.939187,0.376394,4,15,0,7295.35,6880.4,0.996448,0.993895,0.69123,0.977804,0.925096,0.388773
-7292.09,0.98269,0.376394,3,7,0,7293.17,6792.1,0.995709,0.994772,0.684611,0.972207,0.929113,0.552373
-7292.8,0.966465,0.376394,3,7,0,7294.89,6884.53,0.992507,0.986009,0.6576,0.994317,0.927113,0.489936
-7293.24,0.990104,0.376394,4,15,0,7294.58,6550.97,0.989566,0.998479,0.683967,0.994974,0.916464,0.780527
-7296.13,0.920633,0.376394,3,7,0,7301.86,6932.28,0.998718,0.984259,0.650093,0.983644,0.949835,0.921588
-7294.7,0.959695,0.376394,3,7,0,7299.56,6552.02,0.995687,0.999054,0.66604,0.984983,0.969281,0.565414
-7295.88,0.977995,0.376394,2,7,0,7298.59,6819.19,0.993334,0.996655,0.668718,0.975793,0.985314,0.530369
-7295.48,0.870456,0.376394,3,7,0,7303.87,6418.44,0.99461,0.993965,0.682342,0.998134,0.961242,0.227059
-7293.12,0.980183,0.376394,3,7,0,7298.38,6881.24,0.996027,0.997586,0.689918,0.982454,0.946431,0.814996
-7292.49,0.984377,0.376394,3,7,0,7294.82,6592.27,0.984529,0.993862,0.656557,0.995358,0.929175,0.375561
-7293.66,0.95062,0.376394,3,7,0,7295.36,6839.01,0.996445,0.998705,0.65505,0.971162,0.936127,0.681981
-7295.33,0.785565,0.376394,4,15,0,7298.78,6624.56,0.984724,0.988056,0.67606,0.998528,0.938081,0.965542
-7293.7,0.994834,0.376394,3,15,0,7297.32,6716.33,0.992287,0.993262,0.696042,0.998806,0.919673,0.235964
-7295.92,0.934616,0.376394,3,7,0,7297.53,6951.85,0.997729,0.994877,0.682651,0.949231,0.943339,0.435325
-7296.41,1,0.376394,3,7,0,7299.18,6685.28,0.987191,0.990697,0.647683,0.999327,0.919815,0.957993
-7295.09,0.976672,0.376394,3,7,0,7298.27,6719.38,0.984986,0.989126,0.659176,0.999009,0.934758,0.937376
-7294.05,0.999302,0.376394,3,15,0,7297.06,6517.12,0.991623,0.994187,0.68254,0.995855,0.924783,0.952249
-7292.03,0.974868,0.376394,3,7,0,7295.95,6748.74,0.996132,0.99556,0.6693,0.99309,0.924193,0.790237
-7296.39,0.936644,0.376394,3,7,0,7297.29,6436.08,0.975548,0.996909,0.649373,0.9668,0.929559,0.241895
-7296.72,0.971735,0.376394,4,15,0,7302.01,6926.91,0.997665,0.999808,0.693941,0.998409,0.924918,0.469062
-7296.15,0.955526,0.376394,3,7,0,7302.38,6418.43,0.998029,0.999502,0.655996,0.971609,0.930991,0.572934
-7293.54,1,0.376394,3,7,0,7298.28,6798.1,0.998228,0.989785,0.669676,0.99681,0.935076,0.174589
-7294.22,0.983544,0.376394,3,7,0,7298.17,6701.58,0.998773,0.997322,0.674021,0.993259,0.935937,0.949835
-7292.44,0.996226,0.376394,3,7,0,7295.04,6558.56,0.994855,0.995169,0.659194,0.989052,0.935725,0.829839
-7292.04,0.989987,0.376394,3,7,0,7293.72,6599.88,0.994513,0.99661,0.65778,0.986241,0.925849,0.715589
-7293.81,0.912184,0.376394,3,7,0,7295.56,6997.66,0.986425,0.994881,0.674842,0.998036,0.94218,0.352189
-7294.36,0.981527,0.376394,3,7,0,7295.29,7042.06,0.990449,0.995338,0.673868,0.997878,0.951625,0.447938
-7294.7,0.979989,0.376394,3,7,0,7297.36,6407,0.997414,0.994387,0.656288,0.98141,0.916029,0.212026
-7293.36,0.963492,0.376394,3,7,0,7297.95,6728.43,0.97659,0.99704,0.702234,0.991374,0.945409,0.433229
-7293.56,0.993285,0.376394,3,7,0,7297.18,6764.26,0.983854,0.997809,0.707606,0.996255,0.93305,0.522385
-7295.5,0.856284,0.376394,3,7,0,7297.66,6638.01,0.998268,0.98825,0.646218,0.991749,0.932476,0.964061
