# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2024-11-24 05:24:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_822.json
# init = 2 (Default)
# random
#   seed = 1674209688 (Default)
# output
#   file = output_model_baseline/output_822.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.485033
# Diagonal elements of inverse mass matrix:
# 0.000705921, 0.00775932, 0.649694, 0.580003, 0.00494816, 0.00833484, 2.96981
-6947.18,1,0.485033,3,7,0,6950.51,4322.03,0.739786,0.962711,0.981705,0.545607,0.727935,0.888466
-6946.34,0.978198,0.485033,3,7,0,6949.27,4388.83,0.717362,0.972159,0.973365,0.568733,0.71841,0.815189
-6946.37,0.988283,0.485033,3,7,0,6947.13,4292.13,0.727714,0.971123,0.964673,0.5494,0.722991,0.148083
-6947.55,0.977739,0.485033,3,7,0,6949.57,4329.38,0.716142,0.972329,0.977039,0.555828,0.724452,0.0453184
-6947.02,0.985831,0.485033,3,7,0,6949.02,4345.65,0.723009,0.971197,0.963632,0.547683,0.735252,0.906368
-6947.17,0.977083,0.485033,3,7,0,6949.25,4431.29,0.733777,0.970906,0.973283,0.571068,0.709072,0.106285
-6948.7,0.898876,0.485033,3,7,0,6953.05,4291.73,0.702126,0.964644,0.970607,0.5833,0.696902,0.66195
-6949.14,0.894762,0.485033,3,7,0,6953.03,4361.75,0.71039,0.952127,0.971216,0.594713,0.730754,0.12048
-6949.14,0.366348,0.485033,2,3,0,6950.98,4361.75,0.71039,0.952127,0.971216,0.594713,0.730754,0.12048
-6946.79,1,0.485033,3,7,0,6949.82,4313.48,0.740201,0.975194,0.967747,0.535213,0.724511,0.420536
-6948.57,0.945842,0.485033,3,7,0,6951.99,4413.26,0.719452,0.975714,0.993295,0.576772,0.735498,0.280619
-6947.39,0.976347,0.485033,3,7,0,6954.22,4367.71,0.718665,0.981717,0.982358,0.55935,0.736704,0.184905
-6948.05,0.957097,0.485033,3,7,0,6951.63,4377.95,0.718491,0.966898,0.959241,0.567487,0.69314,0.895997
-6945.71,1,0.485033,2,3,0,6948.38,4342.42,0.716156,0.960353,0.97458,0.566081,0.716728,0.577387
-6946.11,0.866351,0.485033,3,7,0,6948.6,4378.11,0.738775,0.979161,0.972812,0.552837,0.72699,0.48198
-6946.24,0.920274,0.485033,3,7,0,6948.88,4293.26,0.722473,0.949124,0.973028,0.562735,0.730661,0.697499
-6947.42,0.891776,0.485033,3,7,0,6948.91,4292.01,0.710994,0.966189,0.981241,0.572046,0.702382,0.73703
-6949.85,0.850631,0.485033,3,7,0,6951.6,4458.1,0.751859,0.985595,0.96294,0.545381,0.725991,0.0431889
-6949.49,0.889894,0.485033,3,7,0,6953.59,4267.85,0.703379,0.949258,0.995128,0.568798,0.718006,0.679915
-6949.51,0.926683,0.485033,3,7,0,6951.83,4279.13,0.703755,0.971993,0.989095,0.585617,0.703064,0.426119
-6947.82,0.991397,0.485033,3,7,0,6951.71,4468.2,0.748661,0.965209,0.971105,0.535272,0.739519,0.527776
-6947.17,0.969609,0.485033,3,7,0,6949.79,4271.48,0.713342,0.960561,0.964458,0.579793,0.705605,0.457797
-6948.14,0.91854,0.485033,3,7,0,6949.08,4450.59,0.741618,0.947557,0.977261,0.531817,0.7382,0.578221
-6946.34,1,0.485033,3,7,0,6949.01,4343.39,0.711927,0.977666,0.967456,0.552581,0.7108,0.43357
-6951.25,0.766264,0.485033,2,3,0,6952.3,4558.01,0.683142,0.983127,0.97809,0.554838,0.70956,0.299744
-6949.2,0.977754,0.485033,3,7,0,6954.44,4212.91,0.747309,0.944774,0.977751,0.5368,0.737964,0.710286
-6950.43,0.672388,0.485033,3,7,0,6953.51,4539.98,0.751084,0.988882,0.975791,0.576807,0.728602,0.875382
-6947.87,0.805693,0.485033,3,7,0,6952.75,4521.61,0.743976,0.958823,0.98587,0.547333,0.716614,0.681796
-6946.67,0.936425,0.485033,3,7,0,6950.87,4232.03,0.71573,0.950657,0.962701,0.559536,0.725401,0.376864
