# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_model
# start_datetime = 2024-11-23 21:48:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_172.json
# init = 2 (Default)
# random
#   seed = 1646845922 (Default)
# output
#   file = output/output_172.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.375142
# Diagonal elements of inverse mass matrix:
# 278507, 0.00111453, 0.0677009, 0.874223, 0.0128873, 1.02569, 0.0149175, 0.0298271
-8247.29,0.931659,0.375142,3,15,0,8251.14,43570.1,8363.96,0.804394,0.917788,0.541422,0.940251,0.589801,0.479143
-8251.39,0.906946,0.375142,3,7,0,8253.37,41965,7812.3,0.921392,0.977236,0.503775,0.987772,0.636266,0.494047
-8250.49,0.973398,0.375142,3,15,0,8254.09,41948.9,7970.24,0.924115,0.971932,0.510505,0.980107,0.640993,0.476547
-8249.32,1,0.375142,3,7,0,8251.58,42538.2,8237.92,0.921005,0.963866,0.511088,0.963263,0.647125,0.483072
-8247.74,0.955412,0.375142,4,15,0,8252.65,42961.9,8286.43,0.842757,0.966254,0.582665,0.983901,0.601016,0.51686
-8250.15,0.866045,0.375142,3,7,0,8254.79,43425.1,7904.31,0.89917,0.960767,0.564709,0.941433,0.565433,0.572213
-8248,0.99868,0.375142,3,7,0,8251.48,43589.3,7900.91,0.780781,0.934204,0.504169,0.918709,0.628904,0.458351
-8245.29,0.86969,0.375142,3,7,0,8249.69,43641.7,7800.5,0.808609,0.902244,0.516651,0.969952,0.579865,0.498508
-8245.25,0.799825,0.375142,3,7,0,8249.21,43258.1,8050.88,0.810667,0.958335,0.531569,0.936294,0.590754,0.481353
-8247.43,0.820391,0.375142,3,7,0,8248.54,43440.4,7594.77,0.827952,0.890181,0.493884,0.981272,0.561377,0.485861
-8247.24,0.779037,0.375142,3,7,0,8254.18,43495.5,7348.12,0.808648,0.922037,0.497259,0.966861,0.57692,0.501888
-8248.82,0.549404,0.375142,3,7,0,8255.16,43259.2,7695.89,0.821375,0.926251,0.538177,0.890743,0.568741,0.537914
-8247.88,0.438029,0.375142,3,7,0,8253.26,43533.6,7727.3,0.796446,0.92979,0.545248,0.882144,0.565943,0.51115
-8246.52,0.983711,0.375142,3,15,0,8254.31,42859.2,7935.12,0.875393,0.939436,0.538342,0.993181,0.588659,0.480185
-8249.62,0.844233,0.375142,3,7,0,8252.38,42762.7,8013.1,0.91224,0.976215,0.511114,0.993363,0.574725,0.508891
-8248.99,0.842268,0.375142,3,15,0,8251.85,43661.6,7810.15,0.781038,0.967217,0.538428,0.924108,0.625033,0.469284
-8249.2,0.812161,0.375142,3,7,0,8252.24,42915.7,7984.5,0.888417,0.922567,0.500563,0.991047,0.546505,0.488516
-8247.84,0.990257,0.375142,3,7,0,8250.67,43152.1,7739.97,0.786336,0.952417,0.51744,0.913393,0.61991,0.455277
