# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_model
# start_datetime = 2024-11-23 21:48:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_246.json
# init = 2 (Default)
# random
#   seed = 1646857721 (Default)
# output
#   file = output/output_246.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.20843
# Diagonal elements of inverse mass matrix:
# 15762.3, 0.00123827, 0.00685224, 0.108146, 0.389094, 1.22783, 0.0374533, 0.48146
-6235.11,0.844816,0.20843,3,11,0,6236.75,4097.61,706.392,0.509997,0.836019,0.899252,0.925735,0.746002,0.961328
-6236.76,0.551712,0.20843,3,7,0,6241.22,4204.93,686.753,0.513877,0.88268,0.893822,0.928136,0.735817,0.979673
-6236.36,0.597645,0.20843,4,31,0,6243.01,3911.16,723.824,0.559326,0.931695,0.96518,0.991257,0.775796,0.969131
-6238.32,0.931738,0.20843,4,15,0,6242.15,3861.6,729.988,0.558944,0.921692,0.978477,0.998195,0.806013,0.950335
-6237.29,0.98266,0.20843,4,15,0,6242.25,3970.85,690.587,0.528292,0.903558,0.926591,0.994312,0.791903,0.986887
-6242.03,0.742266,0.20843,3,15,0,6246.38,3975.5,721.458,0.531464,0.939755,0.96427,0.99649,0.757905,0.985876
-6241.65,0.975841,0.20843,4,15,0,6250.27,3907.61,706.514,0.552605,0.911858,0.991761,0.978967,0.839747,0.961436
-6241.07,0.994705,0.20843,3,15,0,6243.52,3822.53,717.303,0.553566,0.913549,0.988577,0.977144,0.839791,0.96309
-6239.59,0.745328,0.20843,3,7,0,6244.63,3924.05,717.979,0.565417,0.910139,0.989428,0.985086,0.825096,0.971917
-6237.81,1,0.20843,4,15,0,6241.6,3938.05,697.678,0.548117,0.934702,0.934731,0.990933,0.780863,0.983491
-6238.95,0.911292,0.20843,4,15,0,6243.28,3952.49,732.768,0.543461,0.9093,0.975965,0.993561,0.765415,0.99295
-6237.56,0.991415,0.20843,4,15,0,6241.64,3960.11,701.622,0.538668,0.902804,0.955502,0.997457,0.749778,0.977067
-6236.72,0.717527,0.20843,4,15,0,6242.88,3927.9,722.304,0.544797,0.922129,0.950763,0.997629,0.771145,0.96463
-6236.97,0.970461,0.20843,4,31,0,6241.13,3917.82,711.888,0.537433,0.897451,0.966568,0.994384,0.817429,0.993383
-6236.61,0.893753,0.20843,4,15,0,6239.1,3989.94,714.874,0.550726,0.928343,0.958714,0.968164,0.781722,0.983485
-6237.12,0.987752,0.20843,4,15,0,6241.36,3921.35,681.029,0.545235,0.894975,0.967154,0.996695,0.806131,0.965888
-6237.4,0.965535,0.20843,3,15,0,6241.61,3923.65,695.486,0.509369,0.917189,0.956227,0.990479,0.8006,0.971604
-6238.48,0.843792,0.20843,4,15,0,6245.53,4034.72,723.397,0.565338,0.872972,0.939074,0.961401,0.776274,0.996618
-6239.41,0.973371,0.20843,3,15,0,6245.51,3949.87,703.399,0.54056,0.911786,0.944854,0.968623,0.793731,0.999272
