# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_model
# start_datetime = 2024-11-23 21:48:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_271.json
# init = 2 (Default)
# random
#   seed = 1646867252 (Default)
# output
#   file = output/output_271.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.257966
# Diagonal elements of inverse mass matrix:
# 420816, 0.000825562, 1.02279, 1.16144, 0.00565865, 1.23208, 0.0551321, 0.0362719
-8256.55,0.941346,0.257966,3,15,0,8262.33,50774.4,8666.33,0.980315,0.999721,0.524531,0.986064,0.883715,0.651392
-8262.34,0.840203,0.257966,3,7,0,8264.56,51560.6,8650.12,0.907708,0.999851,0.545981,0.991399,0.849873,0.660897
-8257.97,0.999021,0.257966,4,15,0,8267.21,50610.5,8443.28,0.961769,0.996636,0.498371,0.996301,0.908115,0.589125
-8256.39,0.973102,0.257966,4,15,0,8260.04,51673.7,8665.62,0.99232,0.958602,0.561297,0.941569,0.834229,0.668274
-8256.37,0.665449,0.257966,3,15,0,8261.43,51307.9,8671.81,0.994224,0.959457,0.552984,0.935948,0.839952,0.67681
-8252.83,0.938939,0.257966,3,7,0,8262.6,50898.6,8494.32,0.98446,0.936321,0.538946,0.960626,0.859616,0.64109
-8256.43,0.97825,0.257966,3,15,0,8257.25,50612.5,8468.82,0.987256,0.989745,0.484974,0.991819,0.897057,0.642211
-8255.67,0.995309,0.257966,4,15,0,8260.71,51175.8,9043.68,0.941543,0.933511,0.518529,0.975192,0.909602,0.671875
-8252.95,0.99755,0.257966,4,15,0,8256.95,51534.3,8212.26,0.928469,0.911511,0.518306,0.985373,0.863247,0.613526
-8253.56,0.999641,0.257966,4,15,0,8255.1,51141.3,8323.5,0.98045,0.980677,0.508546,0.961237,0.857989,0.686703
-8255.04,0.973377,0.257966,4,15,0,8257.53,51670.9,8886.75,0.949767,0.922312,0.529851,0.987004,0.898752,0.699312
-8251.94,0.927619,0.257966,3,15,0,8259.07,51036.4,8435.85,0.956977,0.980704,0.531494,0.973936,0.893042,0.653988
-8253.94,0.956417,0.257966,4,15,0,8254.87,50902.6,9010.64,0.961955,0.934263,0.520291,0.971976,0.876345,0.651085
-8254.61,0.948468,0.257966,4,15,0,8257.27,51467.4,8586.22,0.953675,0.980924,0.49697,0.989793,0.87215,0.593223
-8252.71,0.978652,0.257966,3,7,0,8256.81,50944.2,8468.75,0.955154,0.94683,0.499796,0.992429,0.862301,0.605683
-8251.79,0.97152,0.257966,4,15,0,8255.3,51803.3,8614.62,0.952829,0.942258,0.535202,0.93273,0.849624,0.591423
-8252.78,0.902228,0.257966,4,15,0,8256.47,51653.4,8265.74,0.965532,0.946178,0.518141,0.948756,0.888546,0.695218
-8251.52,0.955356,0.257966,3,15,0,8255.08,51319.5,8422.45,0.936667,0.955531,0.527657,0.965237,0.824824,0.604172
-8252.82,0.973849,0.257966,5,31,0,8255.8,51844.5,8325.76,0.91316,0.923535,0.516498,0.978126,0.836061,0.677942
-8253.18,1,0.257966,4,15,0,8254.92,50848.8,8921.07,0.976782,0.954545,0.537846,0.957448,0.88073,0.611621
-8251.62,0.986336,0.257966,4,15,0,8254.87,51759.2,8121.12,0.955357,0.921726,0.515546,0.967503,0.850474,0.669363
-8253.37,0.990628,0.257966,4,15,0,8254.72,51194.7,8953.12,0.955054,0.981184,0.531423,0.978036,0.878712,0.613044
-8255.62,0.983557,0.257966,3,7,0,8257.38,50700.2,9054.36,0.965897,0.941675,0.522063,0.990918,0.873386,0.575401
-8256.73,0.866454,0.257966,4,15,0,8260.52,51124.3,8472.69,0.990524,0.997859,0.51601,0.966291,0.880512,0.696191
-8256.91,0.908727,0.257966,3,15,0,8261.55,50635.8,8424.56,0.982436,0.997902,0.501063,0.976592,0.911383,0.652043
-8264.25,0.909168,0.257966,4,15,0,8269.25,51758.8,9024.33,0.976381,0.999323,0.542619,0.962529,0.812896,0.716521
-8257.17,0.961089,0.257966,3,7,0,8269.03,51560.9,8731.84,0.951161,0.998914,0.538877,0.977659,0.861962,0.709307
-8257.06,0.883694,0.257966,4,15,0,8262.79,51298.3,8718.9,0.964029,0.999263,0.532098,0.962856,0.868196,0.715311
-8257.07,0.939677,0.257966,4,15,0,8262.16,49907.3,8880.77,0.989009,0.994902,0.558377,0.976355,0.901356,0.661717
-8254.08,0.996857,0.257966,4,15,0,8258.19,50612.7,8546.14,0.97517,0.991544,0.555024,0.981576,0.902093,0.6352
-8252.89,0.894684,0.257966,4,15,0,8261.46,51540.6,8609.14,0.915706,0.954036,0.550084,0.967899,0.865221,0.609326
-8250.3,0.872216,0.257966,3,15,0,8257.33,51975,8362.95,0.959019,0.933096,0.506671,0.947977,0.855329,0.641895
-8255.03,0.907213,0.257966,3,7,0,8256.63,52615,8261.35,0.88594,0.903692,0.540255,0.932059,0.797382,0.674902
-8255.03,0.15384,0.257966,3,7,0,8260.26,52615,8261.35,0.88594,0.903692,0.540255,0.932059,0.797382,0.674902
-8251.28,1,0.257966,4,15,0,8255.71,52099.3,8267.35,0.945243,0.953959,0.50606,0.949178,0.865694,0.647962
-8251.35,0.878755,0.257966,5,31,0,8255.42,51848.5,8176.66,0.95062,0.949849,0.511643,0.965591,0.823398,0.608025
-8253.69,0.894478,0.257966,3,15,0,8256.38,51719.8,8518.71,0.974917,0.92866,0.526542,0.979708,0.890183,0.629538
-8257.72,0.938361,0.257966,3,15,0,8259.87,51545.9,8984.29,0.910063,0.958489,0.499879,0.926649,0.893073,0.659673
-8257.56,0.802985,0.257966,3,15,0,8264.53,50640.3,9003.09,0.994965,0.978721,0.536923,0.998841,0.863552,0.616759
-8255.41,0.964934,0.257966,4,15,0,8260.38,50701.4,8612.28,0.990188,0.972546,0.532526,0.997891,0.903879,0.705275
-8253.76,0.975944,0.257966,4,15,0,8258.83,52072,8674.2,0.926659,0.920684,0.540074,0.905645,0.865183,0.615419
-8257.64,0.776781,0.257966,4,15,0,8260.2,50031.3,8619.36,0.996047,0.99156,0.514253,0.998174,0.891584,0.663042
-8256.66,0.973924,0.257966,4,31,0,8262.5,53106.8,8536.29,0.874937,0.895747,0.546294,0.947982,0.840932,0.604384
-8253.32,0.695154,0.257966,4,15,0,8260.75,53062.5,8448.33,0.932356,0.926054,0.535715,0.933648,0.853393,0.652655
-8253.21,0.956673,0.257966,4,15,0,8256.88,51730.1,8328.77,0.976582,0.951137,0.524846,0.967634,0.839854,0.713846
-8251.11,0.995436,0.257966,4,15,0,8254.1,51583.7,8427.59,0.929421,0.953409,0.542925,0.966546,0.866722,0.666209
-8250.8,0.955024,0.257966,4,15,0,8254.23,51704.8,8527.95,0.944148,0.953126,0.539241,0.967038,0.877218,0.660922
-8251.27,0.948015,0.257966,4,15,0,8252.76,51628.4,8745.95,0.958744,0.950466,0.537952,0.959035,0.876799,0.635862
-8254.37,0.80357,0.257966,4,15,0,8257.16,51297,8575.61,0.96483,0.979876,0.540347,0.919199,0.870069,0.620108
-8255.91,0.98483,0.257966,3,15,0,8258.13,51417.3,9025.87,0.973338,0.956657,0.545271,0.998186,0.868899,0.682522
-8257.36,0.969499,0.257966,4,15,0,8263.34,51154.6,8215.96,0.913755,0.953549,0.490157,0.99626,0.837564,0.538338
-8255.52,0.998712,0.257966,3,7,0,8259.38,51111.5,8332.28,0.974133,0.934167,0.496308,0.996557,0.862774,0.558911
-8252.69,0.897847,0.257966,3,7,0,8259.33,51225.6,8178.14,0.952561,0.967554,0.510136,0.98238,0.852087,0.57531
-8251.67,0.902517,0.257966,4,15,0,8255.38,52429.5,8594.94,0.920202,0.900849,0.526247,0.947226,0.863067,0.67856
-8252.03,0.477574,0.257966,4,15,0,8254.9,51553.7,8245.04,0.940731,0.952162,0.52531,0.963474,0.832612,0.686079
-8255.28,0.859509,0.257966,4,15,0,8256.81,50938.6,8981.63,0.980485,0.981465,0.534696,0.990521,0.889033,0.591861
-8251.73,0.985635,0.257966,4,15,0,8258.43,51657,8419.18,0.94542,0.955238,0.550418,0.951851,0.832058,0.658222
-8256.23,0.801619,0.257966,4,15,0,8259.03,50240.4,8951.99,0.964775,0.967464,0.500219,0.990015,0.903232,0.626978
-8256.92,0.968905,0.257966,4,15,0,8259.75,50589.5,8062.98,0.995898,0.981749,0.54489,0.990507,0.858683,0.644257
-8254.45,0.996013,0.257966,4,15,0,8259.64,51421.7,9044.86,0.986084,0.967835,0.52877,0.965621,0.888106,0.659266
-8255.37,0.995372,0.257966,4,15,0,8257.33,50360.7,8639.4,0.948821,0.968691,0.511956,0.990323,0.907164,0.666891
-8256.13,1,0.257966,4,15,0,8258.74,50323.1,8677.92,0.998164,0.984608,0.564444,0.984424,0.892851,0.642278
-8255.06,0.988315,0.257966,3,7,0,8257.55,50686.3,8789.76,0.996492,0.968153,0.554565,0.993668,0.883872,0.671349
-8255.84,0.974153,0.257966,4,15,0,8257.92,50487.1,8841.05,0.997227,0.972003,0.556551,0.995122,0.889142,0.667207
-8257.31,0.967967,0.257966,4,15,0,8258.69,50168.8,8820.15,0.997633,0.970821,0.570252,0.992714,0.88087,0.660578
