# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_model
# start_datetime = 2024-11-23 21:50:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_602.json
# init = 2 (Default)
# random
#   seed = 1646985606 (Default)
# output
#   file = output/output_602.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.209196
# Diagonal elements of inverse mass matrix:
# 660178, 0.00068819, 1.10969, 0.500313, 0.00400568, 0.0461136, 0.0193912, 0.588663
-7972.6,0.893178,0.209196,3,15,0,7980.81,40553.5,6804.51,0.968873,0.980033,0.352146,0.887665,0.843555,0.988529
-7971.32,0.961398,0.209196,4,15,0,7978.21,41452.1,6848.74,0.970985,0.952972,0.345278,0.876789,0.794965,0.993256
-7973.86,0.970795,0.209196,4,15,0,7976.75,41777.9,7024.21,0.96251,0.945723,0.372666,0.877556,0.803362,0.994442
-7973.31,0.99191,0.209196,4,15,0,7975.44,42173.6,6152.84,0.955735,0.922646,0.327696,0.851948,0.796766,0.953525
-7975.6,0.864163,0.209196,3,7,0,7977.44,42305.5,6146.35,0.928708,0.924476,0.332835,0.868955,0.809533,0.953862
-7973.03,0.95463,0.209196,3,7,0,7979.08,41609.4,6301.5,0.956395,0.953273,0.352644,0.85674,0.785111,0.992445
-7972.55,0.998191,0.209196,4,31,0,7974.94,41864,6809.95,0.942368,0.917624,0.339732,0.877905,0.818593,0.98148
-7971.23,1,0.209196,4,15,0,7973.55,41674.6,6894.35,0.968558,0.954096,0.338619,0.866944,0.81292,0.982561
-7971.26,0.964058,0.209196,4,15,0,7974.89,42393.5,6807.86,0.962113,0.939603,0.346258,0.861293,0.78794,0.993602
-7970.68,0.942596,0.209196,4,31,0,7975.76,41120.6,6692.24,0.973326,0.965669,0.345554,0.895493,0.827981,0.977748
-7971.13,0.970545,0.209196,3,15,0,7973.74,41227.3,6595.53,0.963977,0.938342,0.358264,0.893259,0.830683,0.974107
-7972.33,0.846837,0.209196,4,15,0,7975.36,41322.5,6505.48,0.992124,0.958443,0.356865,0.882794,0.803654,0.994056
-7973.41,0.919198,0.209196,3,15,0,7977.2,40558,6592.46,0.99605,0.944976,0.351932,0.886929,0.823189,0.989898
-7973.93,0.999875,0.209196,4,15,0,7975.46,40075.8,6798.08,0.995825,0.973425,0.358204,0.889162,0.824268,0.98681
-7971.91,0.992747,0.209196,3,15,0,7978.8,40141.9,6668.09,0.994649,0.980588,0.359651,0.909584,0.826764,0.982608
-7972.6,0.993613,0.209196,4,15,0,7973.32,40399.2,6648.14,0.993657,0.984735,0.349101,0.911489,0.830165,0.976843
-7973.43,0.990128,0.209196,4,31,0,7975.85,40490.1,6625.86,0.977549,0.967602,0.3483,0.892072,0.857679,0.994933
-7975.37,0.954107,0.209196,4,15,0,7977.74,40868.7,6672.19,0.985584,0.983593,0.349635,0.863041,0.845487,0.99416
-7973.96,0.989672,0.209196,4,15,0,7977.6,40699.9,6515.67,0.976395,0.956731,0.375535,0.923228,0.808432,0.975704
-7972.62,1,0.209196,3,7,0,7974.41,40487.4,6568.75,0.981807,0.966892,0.373515,0.921294,0.814286,0.976909
-7974.33,0.91278,0.209196,4,23,0,7977.54,40502.6,6472.42,0.967085,0.960354,0.374834,0.908978,0.803242,0.955744
-7972.22,0.973628,0.209196,4,15,0,7978.34,40730.8,6665.14,0.985244,0.973448,0.368952,0.903267,0.845939,0.977645
-7971.15,0.999241,0.209196,4,15,0,7973.99,40895,6695.77,0.986644,0.958587,0.364543,0.879019,0.802387,0.987892
-7970.85,0.991977,0.209196,3,7,0,7972.86,41109.8,6781.53,0.971079,0.97128,0.368896,0.877971,0.810323,0.987766
-7969.78,0.989189,0.209196,4,31,0,7972.14,42201.8,6284.13,0.948019,0.937992,0.337599,0.862523,0.793829,0.971988
-7970.37,0.848783,0.209196,5,31,0,7972.93,40527.1,6576.14,0.984364,0.97507,0.35187,0.892624,0.835249,0.988451
