# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_model
# start_datetime = 2024-11-23 21:50:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_599.json
# init = 2 (Default)
# random
#   seed = 1646985557 (Default)
# output
#   file = output/output_599.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.275447
# Diagonal elements of inverse mass matrix:
# 1892.34, 0.00107135, 0.00619587, 0.445279, 0.0426331, 0.4956, 0.0961926, 0.0373261
-5837.1,0.857498,0.275447,3,7,0,5840.88,2247.6,364.884,0.361549,0.955896,0.821645,0.955368,0.88604,0.639631
-5835.8,0.969905,0.275447,4,15,0,5840,2304.32,368.053,0.396915,0.906005,0.819736,0.898474,0.852841,0.609028
-5835.3,0.970619,0.275447,4,15,0,5839.61,2289.6,369.915,0.372329,0.922291,0.842071,0.922141,0.87587,0.718709
-5835.01,0.970556,0.275447,3,15,0,5836.73,2274.54,381.799,0.396442,0.915634,0.827775,0.926951,0.870974,0.622799
-5833.73,0.983437,0.275447,4,15,0,5836.41,2321.96,355.597,0.385757,0.874798,0.808315,0.886435,0.859069,0.689105
-5834.2,0.790928,0.275447,2,7,0,5837.47,2333.5,374.86,0.372445,0.870881,0.793709,0.874332,0.845441,0.661594
-5835.59,0.948327,0.275447,4,15,0,5836.98,2225.99,375.037,0.399896,0.940712,0.832664,0.936964,0.901831,0.637651
-5837.56,0.952226,0.275447,5,31,0,5839.05,2222.43,380.156,0.37551,0.981746,0.842026,0.959698,0.891682,0.613968
-5836.38,0.952128,0.275447,4,31,0,5842.88,2251.15,358.356,0.400341,0.90495,0.815782,0.95001,0.87119,0.635926
-5834.86,0.981913,0.275447,4,15,0,5837.64,2296.27,380.498,0.388584,0.910768,0.814434,0.880002,0.852506,0.647006
-5835.46,0.939075,0.275447,4,15,0,5837.09,2294.43,365.673,0.378976,0.922605,0.817928,0.896248,0.871566,0.725316
-5835.85,0.996438,0.275447,4,15,0,5837.45,2299.39,357.607,0.370959,0.890769,0.839185,0.925797,0.846533,0.699872
-5834.67,0.928891,0.275447,3,7,0,5838.88,2275.69,367.839,0.392439,0.899248,0.811606,0.93613,0.885329,0.661049
