# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_model
# start_datetime = 2024-11-23 21:48:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_212.json
# init = 2 (Default)
# random
#   seed = 1646852694 (Default)
# output
#   file = output/output_212.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.271322
# Diagonal elements of inverse mass matrix:
# 58237.3, 0.0017244, 0.325512, 0.0233058, 0.0132564, 0.516062, 0.0131323, 0.0310803
-7207.55,0.995882,0.271322,4,15,0,7210.96,10901.9,2150.58,0.946887,0.821424,0.719514,0.982903,0.467356,0.566954
-7206.03,0.966281,0.271322,4,15,0,7209.22,11115.9,2163.96,0.92425,0.784006,0.71512,0.97178,0.473789,0.594878
-7207.48,0.847928,0.271322,4,15,0,7209.3,11108.7,2171.91,0.941991,0.805869,0.704,0.965718,0.488456,0.573337
-7210.37,0.919043,0.271322,4,15,0,7212.77,10912.9,2151.56,0.921635,0.842899,0.676429,0.962139,0.458318,0.569224
-7210.58,0.97622,0.271322,2,3,0,7211.39,10929.4,2140.24,0.92303,0.846747,0.675292,0.964014,0.453835,0.569974
-7208.95,0.981268,0.271322,4,19,0,7211.84,11391.9,2057.41,0.854111,0.70214,0.731596,0.901285,0.442124,0.605661
-7208.07,0.998232,0.271322,4,23,0,7210.38,11293.5,2092.53,0.890151,0.818705,0.667693,0.928597,0.472591,0.615776
-7203.22,0.99529,0.271322,4,15,0,7211.48,11731.2,1944.7,0.839006,0.734753,0.677156,0.847973,0.453285,0.613388
-7206.72,0.885756,0.271322,3,7,0,7208.09,11631.1,2039.6,0.840744,0.703936,0.657926,0.881031,0.477,0.626593
-7209.59,0.798439,0.271322,4,31,0,7218.23,10903.8,2120.95,0.908863,0.788823,0.747411,0.932738,0.43,0.490645
-7208.78,0.960205,0.271322,4,15,0,7213.25,11515.1,2171.9,0.892121,0.768018,0.663337,0.938871,0.459362,0.672373
-7206.66,0.970025,0.271322,3,7,0,7212.32,11544,2078.48,0.905382,0.741779,0.67387,0.875774,0.465823,0.668831
-7204.29,0.977054,0.271322,3,7,0,7208.46,11456.9,2060.65,0.871856,0.758355,0.67298,0.92323,0.441819,0.638927
-7206.33,0.90904,0.271322,4,15,0,7208.39,11252.6,2082.86,0.890102,0.774351,0.724107,0.948789,0.491032,0.59085
-7204.4,0.980619,0.271322,4,15,0,7208.74,11337.7,2036,0.870211,0.778624,0.703902,0.92217,0.4618,0.63371
-7205.68,0.959884,0.271322,4,15,0,7206.95,11316.5,2043.01,0.86068,0.782591,0.705614,0.924649,0.472302,0.644688
-7209.24,0.857375,0.271322,3,15,0,7215.11,11367,2129.91,0.869474,0.825218,0.694757,0.933765,0.428426,0.580607
-7205.7,0.988279,0.271322,4,31,0,7215.86,11435.5,2147.46,0.882285,0.782933,0.670644,0.914994,0.436028,0.603094
-7205.23,0.965089,0.271322,3,7,0,7208.94,11347.2,2155.71,0.862832,0.758275,0.685255,0.897339,0.449189,0.562448
-7205.67,0.895866,0.271322,3,15,0,7208.34,11212,2117.89,0.866339,0.778863,0.697251,0.880855,0.444492,0.56215
-7208.48,0.906443,0.271322,4,15,0,7211.59,10871.6,2128.98,0.931886,0.785718,0.738455,0.972862,0.48399,0.589992
-7209.99,0.952884,0.271322,3,7,0,7213.69,10992.2,2136.38,0.877473,0.786942,0.737232,0.975988,0.508986,0.588822
-7208.5,0.993497,0.271322,4,15,0,7212.2,11138.6,2145.25,0.946094,0.810622,0.683135,0.91552,0.435417,0.620721
-7207.59,0.995483,0.271322,4,15,0,7210.9,11156.2,2108.95,0.953947,0.796742,0.681201,0.921096,0.461671,0.613269
-7207.31,0.994951,0.271322,3,15,0,7208.68,11182.5,2114.73,0.947623,0.794671,0.683432,0.908125,0.466742,0.612683
-7204.93,0.998013,0.271322,3,7,0,7207.86,11175.8,2095.07,0.884755,0.770397,0.716963,0.949699,0.463379,0.604042
-7207.82,0.725962,0.271322,3,15,0,7210.55,11372.8,2045.39,0.935121,0.747725,0.696527,0.948738,0.45048,0.608971
-7204.53,0.982673,0.271322,3,7,0,7211.95,11272.9,2132.83,0.873376,0.765165,0.700482,0.902783,0.464623,0.598024
-7203.32,0.96092,0.271322,4,15,0,7206.42,11702.8,2019.63,0.831871,0.731915,0.687409,0.84655,0.442749,0.614855
-7204.84,0.972107,0.271322,3,7,0,7205.67,11357.3,1967.79,0.871727,0.743392,0.665555,0.897367,0.4523,0.566953
-7204.32,0.962033,0.271322,3,15,0,7206.61,11354.8,2010.42,0.869983,0.771566,0.680095,0.87296,0.440995,0.553629
-7206.94,0.857741,0.271322,4,15,0,7209.45,11291.9,2072.35,0.912592,0.776812,0.727117,0.884183,0.479151,0.637651
-7206.65,0.842724,0.271322,4,15,0,7211.93,11533.9,2099.76,0.901149,0.737791,0.665573,0.853397,0.462064,0.615114
