# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_model
# start_datetime = 2024-11-23 21:53:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_876.json
# init = 2 (Default)
# random
#   seed = 1647137545 (Default)
# output
#   file = output/output_876.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.310764
# Diagonal elements of inverse mass matrix:
# 29621.4, 0.00132798, 0.0100539, 0.00563566, 0.0817561, 0.197151, 0.0731574, 0.0263795
-7031.09,0.92085,0.310764,3,7,0,7034.33,11075,1708.06,0.705441,0.536938,0.851145,0.905199,0.832313,0.717218
-7029.9,0.550904,0.310764,4,23,0,7040.52,10970.8,1611.33,0.625612,0.535649,0.852365,0.878155,0.843292,0.656741
-7027.97,0.995501,0.310764,3,7,0,7032.4,10953.2,1650.02,0.653893,0.533477,0.854059,0.918569,0.840195,0.618829
-7030.34,0.679464,0.310764,3,7,0,7034.17,10991.1,1677.39,0.628706,0.528132,0.875742,0.912798,0.861879,0.669858
-7033.14,0.734574,0.310764,3,15,0,7042.33,11038.3,1464.91,0.643872,0.529021,0.80242,0.897639,0.798161,0.613051
-7029.29,0.980724,0.310764,4,15,0,7035.67,11136.3,1560.25,0.661702,0.520231,0.856609,0.864178,0.83804,0.687121
-7029.01,0.887263,0.310764,4,15,0,7033.13,10749.6,1660.21,0.694457,0.555899,0.890833,0.916072,0.880937,0.615112
-7031.07,0.886133,0.310764,4,15,0,7034.24,10777.1,1709.72,0.683294,0.576709,0.895503,0.896815,0.887046,0.657137
-7030.16,0.981793,0.310764,3,7,0,7034.41,10814,1706.74,0.694878,0.531574,0.883663,0.961516,0.865499,0.666208
-7029.92,0.945553,0.310764,4,23,0,7031.66,10686.5,1619.86,0.661513,0.556957,0.896289,0.906594,0.893664,0.615538
-7030.34,0.979877,0.310764,3,15,0,7034.32,10772.8,1732.42,0.706659,0.537841,0.892545,0.951623,0.862038,0.68804
-7033.31,0.867962,0.310764,3,15,0,7037.64,10732.5,1734.17,0.679607,0.543918,0.936301,0.941644,0.841162,0.646587
-7031.38,0.99827,0.310764,4,15,0,7037.04,10706,1632.6,0.699193,0.561214,0.886457,0.919432,0.919743,0.640091
