# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_model
# start_datetime = 2024-11-23 21:49:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_334.json
# init = 2 (Default)
# random
#   seed = 1646907597 (Default)
# output
#   file = output/output_334.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.241716
# Diagonal elements of inverse mass matrix:
# 82003.8, 0.000698673, 0.00738382, 0.0163929, 1.27727, 1.07393, 1.01012, 0.0204973
-7707.47,0.960664,0.241716,4,15,0,7712.03,23969.1,4182.72,0.254667,0.802392,0.96814,0.996525,0.992902,0.723397
-7701.11,0.988546,0.241716,4,15,0,7710.22,23934.4,4012.25,0.277674,0.793104,0.967877,0.993848,0.98505,0.610838
-7703,0.96512,0.241716,3,15,0,7705.18,23322.9,4156.16,0.273074,0.802776,0.983641,0.990405,0.96996,0.611326
-7700.41,0.998898,0.241716,4,15,0,7703.87,24546.1,3876.6,0.29048,0.743806,0.956711,0.949748,0.901289,0.654405
-7702.07,0.890653,0.241716,4,31,0,7707.7,23562.7,4151.21,0.26789,0.79911,0.992982,0.992197,0.981758,0.654646
-7700.09,0.96649,0.241716,4,15,0,7705.38,24576.6,3871.61,0.286032,0.765725,0.917462,0.880603,0.874047,0.599989
-7700.98,0.652706,0.241716,5,31,0,7704.95,23826.8,4137.01,0.273324,0.812936,0.939248,0.926529,0.955598,0.630676
-7698.67,0.972657,0.241716,4,31,0,7703.89,24103.2,4037.63,0.246688,0.767426,0.945583,0.95781,0.951134,0.641555
-7701.32,0.789769,0.241716,4,15,0,7705.86,24461.1,4116.21,0.300486,0.779743,0.98148,0.935416,0.943344,0.660178
-7700.65,0.662843,0.241716,4,31,0,7707.26,24216.9,3760.27,0.273058,0.722589,0.937099,0.934946,0.953283,0.580613
-7701.11,0.910958,0.241716,3,7,0,7704.78,24401.7,3782.05,0.275074,0.713895,0.92422,0.943795,0.902492,0.596597
-7698.9,0.65496,0.241716,4,15,0,7706.09,23949.2,4130.31,0.26775,0.791742,0.974287,0.946801,0.94311,0.654644
-7697.46,0.985604,0.241716,4,31,0,7700.9,24479.3,3859.2,0.290797,0.744816,0.918337,0.93913,0.936654,0.645752
-7699.54,0.966686,0.241716,4,15,0,7700.23,24784.2,3877.8,0.292346,0.779154,0.897796,0.929297,0.911976,0.670039
-7700.46,0.864349,0.241716,3,7,0,7703.28,24841,3816.09,0.293217,0.782307,0.92283,0.919905,0.908873,0.686459
-7700.97,0.650232,0.241716,4,15,0,7705.83,25069,3830.91,0.290126,0.7073,0.921945,0.900552,0.886902,0.656088
-7698.49,0.760476,0.241716,3,15,0,7705.48,24616.9,3868.15,0.276046,0.770287,0.939127,0.915068,0.909804,0.598837
-7699.68,0.931891,0.241716,4,15,0,7701.13,24490.9,3917.15,0.254648,0.724092,0.899302,0.912836,0.931691,0.64729
-7700.45,0.953025,0.241716,4,31,0,7702.11,23879.1,4073.56,0.309569,0.817627,0.976756,0.963383,0.974558,0.621752
-7700.38,0.979326,0.241716,4,15,0,7703.6,23582.9,4104.63,0.28244,0.819355,0.957366,0.964591,0.971126,0.639524
